Metric,Value
Best hyperparameters,"max_depth=20, max_features=log2, min_samples_leaf=1, min_samples_split=2, n_estimators=200"
Accuracy (CV),0.817 (±0.020)
Precision (CV),0.835 (±0.060)
Recall (CV),0.804 (±0.057)
F1-score (CV),0.815 (±0.018)
ROC AUC (CV),0.893 (±0.014)
Accuracy (Test),0.769
Precision (Test),0.781
Recall (Test),0.758
F1-score (Test),0.769
ROC AUC (Test),0.886
