Molecule ChEMBL ID,MaxAbsEStateIndex,MinAbsEStateIndex,MinEStateIndex,qed,SPS,MolWt,MaxPartialCharge,MinPartialCharge,FpDensityMorgan1,BCUT2D_MWHI,BCUT2D_MWLOW,BCUT2D_CHGHI,BCUT2D_CHGLO,BCUT2D_LOGPHI,BCUT2D_MRLOW,AvgIpc,BalabanJ,Ipc,PEOE_VSA11,PEOE_VSA13,PEOE_VSA14,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA8,PEOE_VSA9,SMR_VSA2,SMR_VSA6,SMR_VSA7,SMR_VSA9,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA4,SlogP_VSA7,SlogP_VSA8,EState_VSA11,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,VSA_EState6,VSA_EState7,VSA_EState8,FractionCSP3,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAromaticHeterocycles,NumSaturatedCarbocycles,RingCount,fr_Al_OH,fr_ArN,fr_Ar_COO,fr_Ar_NH,fr_Ar_OH,fr_HOCCN,fr_NH0,fr_N_O,fr_Ndealkylation1,fr_Ndealkylation2,fr_SH,fr_aldehyde,fr_alkyl_carbamate,fr_amidine,fr_aryl_methyl,fr_azo,fr_bicyclic,fr_diazo,fr_dihydropyridine,fr_ester,fr_ether,fr_furan,fr_hdrzine,fr_hdrzone,fr_imidazole,fr_imide,fr_lactone,fr_methoxy,fr_morpholine,fr_nitro_arom_nonortho,fr_oxazole,fr_para_hydroxylation,fr_phos_acid,fr_piperdine,fr_piperzine,fr_pyridine,fr_quatN,fr_sulfone,fr_term_acetylene,fr_thiazole,fr_thiophene,fr_unbrch_alkane,fr_urea,Actividad
CHEMBL3703599,-0.5947365415797344,-0.26391782553797727,-0.8837157137578497,-0.9065627784771009,-0.2911691187961622,0.15641233807327196,-0.27550490815837647,0.7720628016372871,0.36395181575453445,0.04472960904997249,-0.7382086010516711,-0.6178542065469527,-0.32245579695232396,0.05626708003565932,-1.8367271771278313,-0.39490235033240884,-0.567180176792959,-0.03467587589980405,-0.6634356108079075,0.7733821012762115,-0.5432659080896994,-1.015760348363554,1.6949662524266942,0.46672297279224,-0.19653827489432177,-0.6963516442807661,-0.29133193402690094,0.4599279343294236,1.1674636045541469,-0.28275680534173236,0.5664573758083059,-0.6821248534208496,1.0494304216106494,0.7567753460421043,0.5771762252368938,-0.2752823291532002,-0.2352434509805471,-0.3216860698550135,-0.6945724077299074,0.47801196075802377,-0.5170334696422498,0.15823614427240643,1.7739679946251572,-0.6763212546716452,-0.16914482151339807,1.2170945099108421,-0.37000759689725127,-1.2094653294572217,-0.18438992450146044,-0.438466829899502,-0.44328433945298196,-1.306929559873959,-0.23780927538604033,-0.1503884367441319,1.2994956095236443,-0.12089797996275332,-0.23614993840646867,-0.2986446570797095,-0.4397921687875014,-0.08517710406460131,-0.45469954174378263,-0.06946287116471878,-0.3260546917755346,-0.2066169386216526,-0.06012036120421518,-0.03466876226407683,-0.03466876226407682,-0.06012036120421518,-0.5300438719088073,-0.04905852493535381,-1.1726117494799013,-0.03466876226407682,-0.03466876226407682,-0.20033863589726958,-0.7428588923439836,-0.14433756729740643,-0.03466876226407682,-0.24999999999999997,-0.1408314473829913,-0.13716127223026223,-0.04653540364182733,-0.2963157520396228,-0.5547001962252291,-0.08517710406460131,-0.03466876226407682,-0.3599053067962737,-0.08799181714149107,3.2510682005218596,-0.5051786609230983,-0.3783488240642899,-0.03466876226407682,-0.3880834219871792,-0.04905852493535381,-0.15360019660837745,-0.11568057370976319,-0.5701789178201698,-0.1156805737097632,1
CHEMBL3703600,0.04700700778313854,-0.6201592059738849,-1.642251823417675,-0.83286516686571,-0.16762333254101047,0.48287660203749566,2.216876379051001,0.681798894813593,-0.011404255354436512,0.04472965322377723,-0.7382086123438428,1.4042198064085245,-0.3224891465384884,0.2262682979370802,0.018340458983113584,-0.2752691856722388,-0.42894531315129064,-0.03467587589980405,-0.6634356108079075,1.2545723084020903,0.48302862796935286,1.587251602488168,1.6949662524266942,0.46672297279224,-0.1785388449131519,-0.10314261498753326,-0.29133193402690094,0.6934719373336169,0.819850567078917,-0.28275680534173236,1.3258417769513187,-0.6821248534208496,1.0494304216106494,-0.405918992743499,0.5771762252368938,-0.2752823291532002,-0.2352434509805471,-0.547509063648362,0.6935020190721437,-0.11715013571140416,0.26568633402953495,-0.7606811690911636,1.4295372150993553,-0.886538983044904,-0.16914482151339807,0.9051475180129802,-0.5716527838240322,-1.297779270897728,0.09738892908167261,-0.438466829899502,-0.44328433945298196,-1.306929559873959,-0.23780927538604033,-0.1503884367441319,3.0510811155644144,-0.12089797996275332,-0.23614993840646867,-0.2986446570797095,-0.4397921687875014,-0.08517710406460131,-1.042843514216719,-0.06946287116471878,2.98618382345642,-0.2066169386216526,-0.06012036120421518,-0.03466876226407683,-0.03466876226407682,-0.06012036120421518,-0.5300438719088073,-0.04905852493535381,-1.1726117494799013,-0.03466876226407682,-0.03466876226407682,-0.20033863589726958,-0.7428588923439836,-0.14433756729740643,-0.03466876226407682,-0.24999999999999997,-0.1408314473829913,-0.13716127223026223,-0.04653540364182733,-0.2963157520396228,-0.5547001962252291,-0.08517710406460131,-0.03466876226407682,-0.3599053067962737,-0.08799181714149107,3.2510682005218596,-0.5051786609230983,-0.3783488240642899,-0.03466876226407682,2.52429036643913,-0.04905852493535381,-0.15360019660837745,-0.11568057370976319,-0.5701789178201698,-0.1156805737097632,1
CHEMBL3703616,0.28015598230521166,-0.6405937105316858,-1.6481072846494003,-0.8266757856159358,0.6137830363640567,0.7537735484383951,2.216876379051001,0.7720628016372871,-0.03178072778606629,0.04472967449566544,-0.7382086482407375,1.4126555878081983,-0.6076039774675777,0.2508506392803538,0.018336671662770542,-0.06535518529879654,-0.6369754573083581,-0.03467587589980405,-0.6634356108079075,1.2545723084020903,0.48302862796935286,1.587251602488168,1.6949662524266942,1.048745158538088,0.5412795819367,0.4285742211839519,-0.29133193402690094,1.4278341010642843,0.819850567078917,-0.28275680534173236,1.3258417769513187,-0.6821248534208496,1.0494304216106494,-0.405918992743499,0.5771762252368938,-0.2752823291532002,-0.2352434509805471,-0.5724193883793273,1.266724131276724,0.760142975787596,0.26568633402953495,-1.145096681524942,1.2494844169676553,0.16618878722372857,0.24356942524465985,0.961583308587884,-0.54012706884807,1.1786182999567536,0.8101236763801853,-0.438466829899502,0.5466777376631948,-1.306929559873959,-0.23780927538604033,0.44900662453750456,1.2994956095236443,-0.12089797996275332,-0.23614993840646867,-0.2986446570797095,-0.4397921687875014,-0.08517710406460131,-0.45469954174378263,-0.06946287116471878,2.98618382345642,-0.2066169386216526,-0.06012036120421518,-0.03466876226407683,-0.03466876226407682,-0.06012036120421518,-0.5300438719088073,-0.04905852493535381,-1.1726117494799013,-0.03466876226407682,-0.03466876226407682,-0.20033863589726958,0.19330064974760233,-0.14433756729740643,-0.03466876226407682,-0.24999999999999997,-0.1408314473829913,-0.13716127223026223,-0.04653540364182733,-0.2963157520396228,1.8027756377319946,-0.08517710406460131,-0.03466876226407682,-0.3599053067962737,-0.08799181714149107,3.2510682005218596,-0.5051786609230983,-0.3783488240642899,-0.03466876226407682,2.52429036643913,-0.04905852493535381,-0.15360019660837745,-0.11568057370976319,-0.5701789178201698,-0.1156805737097632,1
CHEMBL4852442,-0.1092718870194331,-0.6581457919789702,-0.950916608469442,-0.9306329771092071,0.16878859054839204,0.40347082159577713,1.1928427439455047,-0.09537135677375289,0.7017722797526087,-0.14271200716784713,-1.884081462850738,-0.2159080773961057,-0.6716326544179217,0.9274142894400058,-1.8366522807179377,0.8088766244358447,-0.5407776073094309,-0.03467587589980405,-0.6634356108079075,0.7733821012762115,0.6074822941227539,1.587251602488168,-0.5304783424802334,-0.4074133840341523,0.42623924399265833,0.20660773127911133,-0.29133193402690094,1.2029700575694644,0.13560960206634096,-0.24265505134193058,1.9029387661182229,0.9290404817203763,-1.0620604894989571,0.6989625426031356,-0.7589728445643255,0.3764711328999623,-0.2352434509805471,-0.3567451112324573,0.18950016179061208,1.9525462399598668,0.6699222919787541,0.1855809714371826,-1.5990216866358917,1.4366194171848838,-0.7671993504578012,-0.5178724309611149,-0.1703077178413951,2.5857421378116094,0.9165202498444449,1.3259914759279625,-0.44328433945298196,1.201532014722833,-0.23780927538604033,0.44900662453750456,-0.4520898965171255,-0.12089797996275332,-0.23614993840646867,3.1565081116341513,-0.4397921687875014,-0.08517710406460131,0.72158840320209,-0.06946287116471878,-0.3260546917755346,-0.2066169386216526,-0.06012036120421518,-0.03466876226407683,-0.03466876226407682,-0.06012036120421518,-0.5300438719088073,-0.04905852493535381,-0.15406577730392856,-0.03466876226407682,-0.03466876226407682,-0.20033863589726958,0.19330064974760233,-0.14433756729740643,-0.03466876226407682,-0.24999999999999997,-0.1408314473829913,-0.13716127223026223,-0.04653540364182733,-0.2963157520396228,-0.5547001962252291,-0.08517710406460131,-0.03466876226407682,-0.3599053067962737,-0.08799181714149107,-0.3075912095106096,1.5277383658833794,2.4867836345316507,-0.03466876226407682,-0.3880834219871792,-0.04905852493535381,-0.15360019660837745,-0.11568057370976319,-0.5701789178201698,-0.1156805737097632,1
CHEMBL4111781,0.22506866353819327,-0.6459185359001386,-1.64517786177326,-0.8580596883172592,0.6363022189594001,0.6755555089541281,2.216876379051001,0.7720628016372871,0.04103519575637614,0.044729668569872094,-0.738208634998882,1.4107774871530847,-0.37422028130001256,0.24420368186512217,0.018338315120469323,-0.11697054876612285,-0.6460020755160103,-0.03467587589980405,-0.6634356108079075,1.2545723084020903,0.48302862796935286,1.587251602488168,1.6949662524266942,0.757734065665164,0.5412795819367,0.4285742211839519,-0.29133193402690094,1.177425020701047,0.819850567078917,-0.28275680534173236,1.3258417769513187,-0.6821248534208496,1.0494304216106494,-0.405918992743499,0.5771762252368938,-0.2752823291532002,-0.2352434509805471,-0.5724193883793273,1.5506401381777373,0.1752809014549291,0.26568633402953495,-1.145096681524942,1.5039050746552522,-0.4317130684711488,0.24356942524465985,0.9521246446508583,-0.542209796821326,0.20233706236511764,0.5919395700643143,-0.438466829899502,0.5466777376631948,-1.306929559873959,-0.23780927538604033,0.44900662453750456,1.2994956095236443,-0.12089797996275332,-0.23614993840646867,-0.2986446570797095,-0.4397921687875014,-0.08517710406460131,-1.042843514216719,-0.06946287116471878,2.98618382345642,-0.2066169386216526,-0.06012036120421518,-0.03466876226407683,-0.03466876226407682,-0.06012036120421518,-0.5300438719088073,-0.04905852493535381,-1.1726117494799013,-0.03466876226407682,-0.03466876226407682,-0.20033863589726958,0.19330064974760233,-0.14433756729740643,-0.03466876226407682,-0.24999999999999997,-0.1408314473829913,-0.13716127223026223,-0.04653540364182733,-0.2963157520396228,1.8027756377319946,-0.08517710406460131,-0.03466876226407682,-0.3599053067962737,-0.08799181714149107,3.2510682005218596,-0.5051786609230983,-0.3783488240642899,-0.03466876226407682,2.52429036643913,-0.04905852493535381,-0.15360019660837745,-0.11568057370976319,-0.5701789178201698,-0.1156805737097632,1
CHEMBL4108604,0.22888787627787563,-0.6457420516179645,-1.6453874833253455,-0.7769452893391374,0.6654937519533625,0.6755555089541281,2.216876379051001,0.7720628016372871,0.04103519575637614,0.044729668604561956,-0.7382086421309361,1.4113072099560857,-0.4940224621061374,0.24632921203124553,0.018337401540842457,-0.1562652834165105,-0.6411929092129888,-0.03467587589980405,-0.6634356108079075,1.2545723084020903,0.48302862796935286,1.587251602488168,1.6949662524266942,0.46672297279224,0.5412795819367,0.4285742211839519,-0.29133193402690094,1.4663182307300435,0.819850567078917,-0.28275680534173236,1.3258417769513187,-0.6821248534208496,1.0494304216106494,-0.405918992743499,0.5771762252368938,-0.2752823291532002,-0.2352434509805471,-0.5724193883793273,1.266724131276724,0.1752809014549291,0.26568633402953495,-1.145096681524942,1.947486781723374,-0.6684053109309425,0.24356942524465985,0.953617193698769,-0.5417593558298043,-0.6076920712410517,0.5919395700643143,-0.438466829899502,0.5466777376631948,-1.306929559873959,-0.23780927538604033,0.44900662453750456,1.2994956095236443,-0.12089797996275332,-0.23614993840646867,-0.2986446570797095,-0.4397921687875014,-0.08517710406460131,-0.45469954174378263,-0.06946287116471878,2.98618382345642,-0.2066169386216526,-0.06012036120421518,-0.03466876226407683,-0.03466876226407682,-0.06012036120421518,-0.5300438719088073,-0.04905852493535381,-1.1726117494799013,-0.03466876226407682,-0.03466876226407682,-0.20033863589726958,0.19330064974760233,-0.14433756729740643,-0.03466876226407682,-0.24999999999999997,-0.1408314473829913,-0.13716127223026223,-0.04653540364182733,-0.2963157520396228,1.8027756377319946,-0.08517710406460131,-0.03466876226407682,-0.3599053067962737,-0.08799181714149107,3.2510682005218596,-0.5051786609230983,-0.3783488240642899,-0.03466876226407682,2.52429036643913,-0.04905852493535381,-0.15360019660837745,-0.11568057370976319,-0.5701789178201698,-0.1156805737097632,1
CHEMBL3916642,0.2566473322393783,-0.6445450301970066,-1.6457855474641976,-0.8266757856159358,0.6137830363640567,0.7537735484383957,2.216876379051001,0.7720628016372871,-0.03178072778606629,0.04472967449639701,-0.7382086495508319,1.4111233861179358,-0.32261050818285464,0.24730282195889708,0.0182831126912509,-0.06864776968924043,-0.6626389355795549,-0.03467587589980405,-0.6634356108079075,1.2545723084020903,0.48302862796935286,1.587251602488168,1.6949662524266942,1.048745158538088,0.5602018132695463,0.38809995801791475,-0.29133193402690094,1.4254571135904481,0.819850567078917,-0.28275680534173236,1.3258417769513187,-0.6821248534208496,1.0494304216106494,-0.405918992743499,0.5771762252368938,-0.2752823291532002,-0.2352434509805471,-0.5696805296627356,1.2640290820754474,0.760142975787596,0.26568633402953495,-1.145096681524942,1.2494844169676553,0.16618878722372857,0.24356942524465985,0.9525847718371399,-0.5470456414551103,1.227675212171463,0.8101236763801853,-0.438466829899502,0.5466777376631948,-1.306929559873959,-0.23780927538604033,0.44900662453750456,1.2994956095236443,-0.12089797996275332,-0.23614993840646867,-0.2986446570797095,-0.4397921687875014,-0.08517710406460131,-0.45469954174378263,-0.06946287116471878,2.98618382345642,-0.2066169386216526,-0.06012036120421518,-0.03466876226407683,-0.03466876226407682,-0.06012036120421518,-0.5300438719088073,-0.04905852493535381,-1.1726117494799013,-0.03466876226407682,-0.03466876226407682,-0.20033863589726958,0.19330064974760233,-0.14433756729740643,-0.03466876226407682,-0.24999999999999997,-0.1408314473829913,-0.13716127223026223,-0.04653540364182733,-0.2963157520396228,1.8027756377319946,-0.08517710406460131,-0.03466876226407682,-0.3599053067962737,-0.08799181714149107,3.2510682005218596,-0.5051786609230983,-0.3783488240642899,-0.03466876226407682,2.52429036643913,-0.04905852493535381,-0.15360019660837745,-0.11568057370976319,-0.5701789178201698,-0.1156805737097632,1
CHEMBL3944567,0.15440713590159302,-0.577741327173631,-1.653724324874498,-0.811205314805098,0.6902623254027866,0.6000809837941116,2.216876379051001,0.6868743021442921,-0.07623848581871302,0.04472966298748323,-0.7382086222383004,1.409905784188503,-0.32253026278240576,0.2419247241966406,0.018336461235907636,-0.1611665554816778,-0.6489099268566384,-0.03467587589980405,-0.6634356108079075,1.2545723084020903,0.48302862796935286,1.587251602488168,1.6949662524266942,0.46672297279224,0.06770804114774752,1.446533812649324,-0.29133193402690094,0.929392927811647,0.819850567078917,-0.28275680534173236,1.3258417769513182,-0.6821248534208496,1.0494304216106494,-0.405918992743499,0.5771762252368938,-0.2752823291532002,-0.2352434509805471,-0.2811493110443867,1.266724131276724,-0.11715013571140416,0.26568633402953495,-1.145096681524942,1.4295372150993553,-0.886538983044904,0.24356942524465985,0.8797232028758895,-0.5792047622712797,-1.047674118049603,0.3551866036364537,-0.438466829899502,0.5466777376631948,-1.306929559873959,-0.23780927538604033,0.44900662453750456,3.0510811155644144,-0.12089797996275332,-0.23614993840646867,-0.2986446570797095,-0.4397921687875014,-0.08517710406460131,-1.042843514216719,-0.06946287116471878,-0.3260546917755346,-0.2066169386216526,-0.06012036120421518,-0.03466876226407683,-0.03466876226407682,-0.06012036120421518,-0.5300438719088073,-0.04905852493535381,-1.1726117494799013,-0.03466876226407682,-0.03466876226407682,-0.20033863589726958,0.19330064974760233,-0.14433756729740643,-0.03466876226407682,-0.24999999999999997,-0.1408314473829913,-0.13716127223026223,-0.04653540364182733,-0.2963157520396228,1.8027756377319946,-0.08517710406460131,-0.03466876226407682,-0.3599053067962737,-0.08799181714149107,3.2510682005218596,-0.5051786609230983,-0.3783488240642899,-0.03466876226407682,2.52429036643913,-0.04905852493535381,-0.15360019660837745,-0.11568057370976319,-0.5701789178201698,-0.1156805737097632,1
CHEMBL4851332,-0.08150548354745779,-0.6788613800899895,-0.9638465172480822,-0.727573476030505,0.7804907001113986,0.43970249704662345,1.1928427439455047,-0.5078140429569378,0.4100182426633633,-0.1427120014567248,-1.884081574951659,-0.18336981072559452,-0.671632259379901,0.9405078709323071,-1.8474505908187782,0.8538156289083173,-0.739390529130084,-0.03467587589980405,0.06183348815800196,0.1139116481985,1.6671379296779032,1.587251602488168,-0.5304783424802334,-0.698424476907076,0.17999235793175894,0.7383245674505962,-0.29133193402690094,1.001921269927791,0.13560960206634096,0.3769436960074685,1.3258417769513182,1.7346231492909894,-1.0620604894989571,1.3792571185198885,-0.7589728445643255,0.3764711328999623,-0.2352434509805471,0.1981598058559361,-0.09441584511040113,2.2394396566431825,0.6699222919787541,0.1855809714371826,-1.5990216866358917,0.8916969617047356,-0.35448510369974345,-0.5342378881289587,0.19143506786349743,1.9895235141982792,1.0256684588293326,1.3259914759279625,0.5466777376631948,1.201532014722833,-0.23780927538604033,1.048401685819141,-0.4520898965171255,-0.12089797996275332,-0.23614993840646867,3.1565081116341513,-0.4397921687875014,-0.08517710406460131,0.72158840320209,-0.06946287116471878,-0.3260546917755346,4.574269446707142,-0.06012036120421518,-0.03466876226407683,-0.03466876226407682,-0.06012036120421518,-0.5300438719088073,-0.04905852493535381,-0.15406577730392856,-0.03466876226407682,-0.03466876226407682,-0.20033863589726958,1.1294601918391882,-0.14433756729740643,-0.03466876226407682,-0.24999999999999997,-0.1408314473829913,-0.13716127223026223,-0.04653540364182733,-0.2963157520396228,-0.5547001962252291,-0.08517710406460131,-0.03466876226407682,-0.3599053067962737,-0.08799181714149107,3.2510682005218596,1.5277383658833794,2.4867836345316507,-0.03466876226407682,-0.3880834219871792,-0.04905852493535381,-0.15360019660837745,-0.11568057370976319,-0.5701789178201698,-0.1156805737097632,1
CHEMBL3703601,0.08718853817357787,-0.6170016346610593,-1.644408983013279,-0.8563864275240441,-0.18288517568368765,0.5219856217796287,2.216876379051001,0.681801705391243,-0.000260871993388619,0.044729656167762755,-0.7382086157535861,1.4050050670490706,-0.3224897998065812,0.22925227249569843,0.0183394127160423,-0.2312012956862619,-0.4185811729687679,-0.03467587589980405,-0.6634356108079075,1.2545723084020903,0.48302862796935286,1.587251602488168,1.6949662524266942,0.757734065665164,0.06770804114774752,-0.10314261498753326,-0.29133193402690094,0.6742298725007375,0.819850567078917,-0.28275680534173236,1.3258417769513187,-0.6821248534208496,1.0494304216106494,-0.405918992743499,0.5771762252368938,-0.2752823291532002,-0.2352434509805471,-0.547509063648362,0.9774180259731572,-0.11715013571140416,0.26568633402953495,-1.145096681524942,1.6839578727869515,-0.886538983044904,-0.16914482151339807,0.9111679452923643,-0.567759855776379,-0.5372665112910201,0.22908991499552822,-0.438466829899502,-0.44328433945298196,-1.306929559873959,-0.23780927538604033,-0.1503884367441319,3.0510811155644144,-0.12089797996275332,-0.23614993840646867,-0.2986446570797095,-0.4397921687875014,-0.08517710406460131,-1.042843514216719,-0.06946287116471878,2.98618382345642,-0.2066169386216526,-0.06012036120421518,-0.03466876226407683,-0.03466876226407682,-0.06012036120421518,-0.5300438719088073,-0.04905852493535381,-1.1726117494799013,-0.03466876226407682,-0.03466876226407682,-0.20033863589726958,-0.7428588923439836,-0.14433756729740643,-0.03466876226407682,-0.24999999999999997,-0.1408314473829913,-0.13716127223026223,-0.04653540364182733,-0.2963157520396228,-0.5547001962252291,-0.08517710406460131,-0.03466876226407682,-0.3599053067962737,-0.08799181714149107,3.2510682005218596,-0.5051786609230983,-0.3783488240642899,-0.03466876226407682,2.52429036643913,-0.04905852493535381,-0.15360019660837745,-0.11568057370976319,-0.5701789178201698,-0.1156805737097632,1
