Molecule ChEMBL ID,MaxAbsEStateIndex,MinAbsEStateIndex,MinEStateIndex,qed,SPS,MolWt,MaxPartialCharge,MinPartialCharge,FpDensityMorgan1,BCUT2D_MWHI,BCUT2D_MWLOW,BCUT2D_CHGHI,BCUT2D_CHGLO,BCUT2D_LOGPHI,BCUT2D_LOGPLOW,BCUT2D_MRHI,BCUT2D_MRLOW,AvgIpc,BalabanJ,Ipc,PEOE_VSA11,PEOE_VSA13,PEOE_VSA14,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA8,PEOE_VSA9,SMR_VSA6,SMR_VSA7,SMR_VSA9,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA4,SlogP_VSA7,SlogP_VSA8,EState_VSA11,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,FractionCSP3,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumSaturatedCarbocycles,NumSaturatedHeterocycles,RingCount,fr_Al_OH,fr_ArN,fr_Ar_COO,fr_Ar_N,fr_Ar_NH,fr_C_S,fr_HOCCN,fr_Imine,fr_NH0,fr_Ndealkylation1,fr_Ndealkylation2,fr_SH,fr_aldehyde,fr_alkyl_carbamate,fr_alkyl_halide,fr_allylic_oxid,fr_amidine,fr_aryl_methyl,fr_azo,fr_barbitur,fr_benzodiazepine,fr_bicyclic,fr_ester,fr_ether,fr_furan,fr_halogen,fr_hdrzine,fr_hdrzone,fr_imidazole,fr_imide,fr_ketone,fr_lactone,fr_methoxy,fr_morpholine,fr_nitrile,fr_nitro,fr_nitro_arom_nonortho,fr_oxazole,fr_oxime,fr_para_hydroxylation,fr_piperdine,fr_piperzine,fr_pyridine,fr_sulfide,fr_sulfonamd,fr_sulfone,fr_tetrazole,fr_thiazole,fr_thiophene,fr_unbrch_alkane,fr_urea,Actividad
CHEMBL4443085,-0.07763894127172284,0.899778629770565,0.3526966843348092,-1.1420360944748245,-0.6353992917689214,0.1337308846932587,0.831996694019465,-0.4970953161749731,-0.17354485488368912,0.11861244432215709,-0.16937672568360015,-0.3747288421011103,0.6876017280249623,0.21453661814082642,1.1053558748166972,0.8276180806974484,0.41617767626473184,1.1939647084382092,-0.8502384806212696,-0.04372694694466262,-0.7050432862760204,-0.9421319105694779,0.35394366660397797,-0.31324992025291837,1.4175361126374022,1.3656748649765182,0.7777582650045027,1.3822303803135718,0.48397786779893676,-0.5721739302922205,0.9576514702337648,0.4617410717839477,-0.9356547733976901,-0.03304019613220075,-0.01972461599325404,0.6298427025750845,-0.5419526295223361,1.5979121649066688,-0.11239928525977902,0.1059129198654225,2.37319025911156,-1.184129029413927,-0.7052266542578608,1.3471192901040172,1.2512512110637461,-0.2079229015257269,0.9759710762946316,-0.14872738161776727,0.3667299485933727,1.6766049250629387,0.2694189294469989,-0.5295291465394331,-0.7511185688542203,0.643089774981706,1.8428542086900168,2.0167875654836935,-0.31783370510716713,-0.5262555530826715,1.1796104145959054,-0.31488432644726255,-0.21010639329923192,2.486264557692431,3.5577247275826593,2.684164086285573,-0.2550306852253353,-0.061898446059017294,-0.2939625106594369,1.4718591366066336,-0.15309310892394862,-0.16097423080369117,-0.10762440050012627,-0.09259550884879691,-0.0437269469446626,-0.3013181609317398,-0.3825967465691291,-0.15696575405741428,3.7836990949337705,-0.11636000961466175,-0.04372694694466261,-0.04372694694466261,0.5763585786594174,-0.23297700836086113,0.4189214839944731,-0.4282227337473876,-0.5814323960221057,-0.07588252361140423,-0.29552172973624286,-0.17166696867363646,-0.1776179321658257,-0.32244371010678774,-0.061898446059017294,-0.3995677780833142,-0.21010639329923192,-0.2167643581872758,-0.3784139849298384,-0.23545345030127746,-0.04372694694466261,-0.061898446059017294,1.5354573113525438,-0.11938607694636473,-0.25075949542063314,-0.4019677971092036,1.9993695702368244,-0.48430875877067264,-0.15309310892394865,-0.08770580193070292,-0.2639496777264968,-0.3579271276943128,-0.20167872572895088,-0.15950019784171424,1
CHEMBL5174729,0.5522535677246275,-0.6604981268591787,-1.3436319679279118,-0.021349289788408946,3.644525264561681,0.1870907374666437,-0.3888587387614249,-0.4569134183678527,0.6065139717050562,0.3490122592883948,-2.0572845745932073,1.3808528969654639,-2.0278110505777907,1.2010804597813787,-1.172618529304458,0.7555774170529966,0.17952410316609466,0.2366577787962372,-0.54488497864147,-0.04372694694466262,-0.7050432862760204,-0.0009585481138321373,-0.7191592463121192,1.0505546335496219,-0.6548306588855042,-0.585803732230162,0.0788120092916969,0.36153694373213774,0.49738261376925563,0.6538396202856399,-0.10471852796366939,-0.518513803456203,-0.18171676208730614,-0.03304019613220075,-0.031068796353091344,1.032364270688865,1.1893778696911672,-1.0179893699986615,-0.11239928525977902,0.4321012933898573,1.835743997103277,-0.4176222968694489,-0.27423445517800327,0.2157972633022631,0.2107919024644264,0.7959887090802826,-0.16983639897253605,2.3873294375921414,0.6211213286144213,-0.7583375476451518,1.8174981741391134,2.422314180978258,1.7478409872068048,-0.17086926388402837,-0.8671241038083055,-0.8336417920711423,3.013063524415944,-0.5262555530826715,1.1796104145959054,-0.31488432644726255,-0.21010639329923192,-0.37703792193577523,-0.7180728807965,-0.3211820274187865,-0.2550306852253353,-0.061898446059017294,-0.2939625106594369,-0.4973004912619859,-0.15309310892394862,-0.16097423080369117,-0.10762440050012627,-0.09259550884879691,-0.0437269469446626,-0.3013181609317398,0.70697224909513,-0.15696575405741428,0.5029627588963257,-0.11636000961466175,-0.04372694694466261,-0.04372694694466261,2.0568090454120385,-0.23297700836086113,1.592797727914815,-0.4282227337473876,0.20178245106165624,-0.07588252361140423,-0.29552172973624286,-0.17166696867363646,-0.1776179321658257,-0.32244371010678774,-0.061898446059017294,1.4532951928517004,-0.21010639329923192,-0.2167643581872758,-0.3784139849298384,-0.23545345030127746,-0.04372694694466261,-0.061898446059017294,-0.4462659180778329,-0.11938607694636473,-0.25075949542063314,-0.4019677971092036,-0.45418934031140973,1.7815643626206887,-0.15309310892394865,-0.08770580193070292,-0.2639496777264968,-0.3579271276943128,-0.20167872572895088,-0.15950019784171424,1
CHEMBL4553660,0.9477611563754647,-0.12506508250064244,-1.5827082960614827,-0.03955075085841071,2.8925803705767605,0.7386595325648664,0.1474504748979985,-0.4569202244240361,0.5329557928819949,0.34901231269128513,-2.058398227594436,1.6035220034771687,-2.0548962529126227,1.2974438749929242,-1.2913581614644791,0.7248930735996532,-0.5033670847345375,0.6132172340197677,-0.8029560792815202,-0.04372694694466262,-0.1347607035030933,-0.0009585481138321373,1.1161734001493344,-0.32508850223712155,1.9308130737174334,-0.585803732230162,0.04524819813930056,1.920334244964469,2.5552917728360502,3.586246933378176,-0.10471852796366939,-0.518513803456203,-0.18171676208730614,-0.03304019613220075,-0.031068796353091344,0.42254957894155676,1.1893778696911672,-1.0179893699986615,-0.11239928525977902,2.0114504801869595,2.207591924240059,0.8909170034426883,-0.008192607207020718,-0.5899286965016625,0.45697285706615015,1.2190993511003265,-0.21062957518246125,2.057498062629726,0.8935986471342452,0.052660369722492106,2.172064059218423,2.422314180978258,2.9973207652373173,-0.17086926388402837,-0.8671241038083055,-0.8336417920711423,3.013063524415944,1.5316392962853873,1.8103408811757566,1.885107500997612,-0.21010639329923192,-0.37703792193577523,-0.7180728807965,-0.3211820274187865,-0.2550306852253353,-0.061898446059017294,-0.2939625106594369,1.4718591366066336,-0.15309310892394862,-0.16097423080369117,-0.10762440050012627,-0.09259550884879691,-0.0437269469446626,-0.3013181609317398,-0.3825967465691291,-0.15696575405741428,0.5029627588963257,-0.11636000961466175,-0.04372694694466261,-0.04372694694466261,2.0568090454120385,-0.23297700836086113,2.766673971835157,-0.4282227337473876,0.20178245106165624,-0.07588252361140423,-0.29552172973624286,-0.17166696867363646,-0.1776179321658257,-0.32244371010678774,-0.061898446059017294,-0.3995677780833142,4.377216527067332,-0.2167643581872758,-0.3784139849298384,-0.23545345030127746,-0.04372694694466261,-0.061898446059017294,-0.4462659180778329,-0.11938607694636473,-0.25075949542063314,-0.4019677971092036,-0.45418934031140973,-0.48430875877067264,-0.15309310892394865,-0.08770580193070292,-0.2639496777264968,-0.3579271276943128,-0.20167872572895088,-0.15950019784171424,1
CHEMBL4535151,0.9128232565917296,-0.47317846094976784,-1.592694036108446,0.0580549485516177,2.5898763512951883,0.6617623573604402,0.1474504748979985,-0.4569202244240361,0.5520264318361217,0.349012305135682,-2.0584369955563906,1.6039633186456521,-2.0472992906524023,1.2949994565021397,-1.291402502919649,0.7248921584721354,-0.5033730061710042,0.5220211590712208,-0.4935916752232205,-0.04372694694466262,-0.1347607035030933,-0.0009585481138321373,1.1161734001493344,-0.32508850223712155,1.9308130737174334,-0.585803732230162,0.04524819813930056,1.6711462905646908,0.612170441481943,2.6702403415685163,-0.10471852796366939,-0.518513803456203,-0.18171676208730614,-0.03304019613220075,-0.031068796353091344,0.42254957894155676,1.1893778696911672,-1.0179893699986615,-0.11239928525977902,1.1905072220633048,0.6013131364506137,1.646358567925087,0.4068253121903195,0.1292657413270829,-0.45307503760976675,0.7959887090802826,-0.23354649969066138,1.7883638268661781,-0.3345877336247313,1.3838199282684136,1.9203254157889929,2.422314180978258,1.7478409872068048,-0.17086926388402837,-0.8671241038083055,-0.8336417920711423,3.013063524415944,-0.5262555530826715,1.1796104145959054,1.885107500997612,-0.21010639329923192,-0.37703792193577523,-0.7180728807965,-0.3211820274187865,-0.2550306852253353,-0.061898446059017294,-0.2939625106594369,1.4718591366066336,6.531972647421808,-0.16097423080369117,-0.10762440050012627,-0.09259550884879691,-0.0437269469446626,-0.3013181609317398,-0.3825967465691291,-0.15696575405741428,0.5029627588963257,-0.11636000961466175,-0.04372694694466261,-0.04372694694466261,2.0568090454120385,-0.23297700836086113,1.592797727914815,-0.4282227337473876,0.20178245106165624,-0.07588252361140423,-0.29552172973624286,-0.17166696867363646,-0.1776179321658257,-0.32244371010678774,-0.061898446059017294,-0.3995677780833142,-0.21010639329923192,-0.2167643581872758,-0.3784139849298384,-0.23545345030127746,-0.04372694694466261,-0.061898446059017294,-0.4462659180778329,-0.11938607694636473,-0.25075949542063314,-0.4019677971092036,-0.45418934031140973,-0.48430875877067264,-0.15309310892394865,-0.08770580193070292,-0.2639496777264968,-0.3579271276943128,-0.20167872572895088,-0.15950019784171424,1
CHEMBL4580244,0.9529562639532237,-0.33839701103884,-1.5962070562523007,-0.06713779027117694,2.9504968480702813,0.8704104281011853,0.1474504748979985,-0.4569202244240361,0.5152003704074625,0.34901234699007516,-2.0583969619476004,1.6083911760323986,-2.0549095575649337,1.2994361638100362,-1.291513889712488,0.7636265870789701,-0.5033670187686763,0.6166975995389192,-0.8359919728541368,-0.04372694694466262,0.8668395881825285,-0.0009585481138321373,1.1161734001493344,1.0505546335496219,1.9308130737174334,-0.585803732230162,0.04524819813930056,1.920334244964469,2.3878420612100877,3.502814035009478,-0.10471852796366939,-0.518513803456203,-0.18171676208730614,-0.03304019613220075,-0.031068796353091344,0.42254957894155676,1.1893778696911672,-1.0179893699986615,-0.11239928525977902,2.828515775956904,0.601313136450614,0.8909170034426883,-0.008192607207020718,-0.1105927598744445,-0.02100976939465038,0.7959887090802826,-0.22666518517322223,1.9067511345532235,0.205479920345591,-1.1869836080488858,2.172064059218423,2.422314180978258,2.9973207652373173,-0.17086926388402837,-0.8671241038083055,-0.8336417920711423,3.013063524415944,1.5316392962853873,1.8103408811757566,1.885107500997612,-0.21010639329923192,-0.37703792193577523,-0.7180728807965,-0.3211820274187865,-0.2550306852253353,-0.061898446059017294,-0.2939625106594369,1.4718591366066336,-0.15309310892394862,-0.16097423080369117,-0.10762440050012627,-0.09259550884879691,-0.0437269469446626,-0.3013181609317398,-0.3825967465691291,-0.15696575405741428,0.5029627588963257,-0.11636000961466175,-0.04372694694466261,-0.04372694694466261,2.0568090454120385,-0.23297700836086113,1.592797727914815,-0.4282227337473876,0.20178245106165624,-0.07588252361140423,-0.29552172973624286,-0.17166696867363646,-0.1776179321658257,-0.32244371010678774,-0.061898446059017294,-0.3995677780833142,-0.21010639329923192,-0.2167643581872758,-0.3784139849298384,-0.23545345030127746,-0.04372694694466261,-0.061898446059017294,-0.4462659180778329,-0.11938607694636473,-0.25075949542063314,-0.4019677971092036,-0.45418934031140973,-0.48430875877067264,6.531972647421809,-0.08770580193070292,-0.2639496777264968,-0.3579271276943128,-0.20167872572895088,-0.15950019784171424,1
CHEMBL4528051,0.8532347229600727,-0.3696754711600462,-1.5716431337713344,0.22422249935915636,2.9377573001219153,0.46693187627555843,0.1474504748979985,-0.4569202244240361,0.7746469518720542,0.3490122864281619,-2.0574386124431507,1.5893354296766053,-2.03454633693251,1.284503176161482,-1.2899538759672229,0.7248866232200337,-0.503365877606912,0.4133979231920648,-0.45749682261792335,-0.04372694694466262,-0.1347607035030933,-0.0009585481138321373,1.1161734001493344,-0.32508850223712155,1.9308130737174334,-0.585803732230162,0.04524819813930056,1.3568770154862124,0.612170441481943,2.0062953530816245,-0.10471852796366939,-0.518513803456203,-0.18171676208730614,-0.03304019613220075,-0.031068796353091344,0.42254957894155676,1.1893778696911672,-1.0179893699986615,-0.11239928525977902,1.9684436608653346,0.6013131364506137,0.8909170034426883,0.3593129194385039,-0.11059275987444464,-0.21389372942335447,0.7959887090802826,-0.21820059083497784,2.0499806809716867,-0.25251405355411755,0.7502397862894679,1.8731962633661317,2.422314180978258,1.7478409872068048,-0.17086926388402837,-0.8671241038083055,-0.8336417920711423,3.013063524415944,-0.5262555530826715,1.1796104145959054,1.885107500997612,-0.21010639329923192,-0.37703792193577523,-0.7180728807965,-0.3211820274187865,-0.2550306852253353,-0.061898446059017294,-0.2939625106594369,0.8154725939837604,-0.15309310892394862,-0.16097423080369117,-0.10762440050012627,-0.09259550884879691,-0.0437269469446626,-0.3013181609317398,-0.3825967465691291,-0.15696575405741428,0.5029627588963257,-0.11636000961466175,-0.04372694694466261,-0.04372694694466261,2.0568090454120385,-0.23297700836086113,1.592797727914815,-0.4282227337473876,0.20178245106165624,-0.07588252361140423,-0.29552172973624286,-0.17166696867363646,-0.1776179321658257,-0.32244371010678774,-0.061898446059017294,1.4532951928517004,-0.21010639329923192,-0.2167643581872758,-0.3784139849298384,-0.23545345030127746,-0.04372694694466261,-0.061898446059017294,-0.4462659180778329,-0.11938607694636473,-0.25075949542063314,-0.4019677971092036,-0.45418934031140973,-0.48430875877067264,-0.15309310892394865,-0.08770580193070292,-0.2639496777264968,-0.3579271276943128,-0.20167872572895088,-0.15950019784171424,1
CHEMBL4446369,0.9248641792780931,-0.47482801844701344,-1.599836513337127,-0.05185875170565016,2.997993206182123,0.7549796930114034,0.1474504748979985,-0.4569202244240361,0.6065139717050562,0.3490123149685294,-2.0584191735346713,1.6573699701304292,-2.06557026153702,1.3060003748845304,-1.5410053867009423,0.7248931679763981,-0.5033703488976832,0.5322600327380701,-0.8085656832399103,-0.04372694694466262,-0.1347607035030933,0.9426603947262805,1.1161734001493344,1.1098817957713594,1.9308130737174334,-0.585803732230162,0.04524819813930056,1.3314566607679867,2.5431107875354684,2.940798446256457,-0.10471852796366939,-0.518513803456203,0.9822979997042365,-0.03304019613220075,-0.031068796353091344,0.42254957894155676,1.1893778696911672,-1.0179893699986615,-0.11239928525977902,2.0114504801869595,0.8733676024845693,0.9255616998210855,-0.06848680203880315,0.12926574132708304,-0.45307503760976675,0.7959887090802826,-0.23830694183423837,1.8044417168782119,-0.28157555019987535,-0.0011789027043585657,2.1182678559650103,2.422314180978258,2.9973207652373173,-0.17086926388402837,-0.8671241038083055,-0.8336417920711423,3.013063524415944,1.5316392962853873,1.8103408811757566,1.885107500997612,-0.21010639329923192,-0.37703792193577523,-0.7180728807965,-0.3211820274187865,-0.2550306852253353,-0.061898446059017294,-0.2939625106594369,1.4718591366066336,-0.15309310892394862,5.462392231938587,-0.10762440050012627,-0.09259550884879691,-0.0437269469446626,2.2048836855481273,-0.3825967465691291,-0.15696575405741428,0.5029627588963257,-0.11636000961466175,-0.04372694694466261,-0.04372694694466261,2.0568090454120385,-0.23297700836086113,1.592797727914815,-0.4282227337473876,1.7682121452291801,-0.07588252361140423,-0.29552172973624286,-0.17166696867363646,-0.1776179321658257,-0.32244371010678774,-0.061898446059017294,-0.3995677780833142,-0.21010639329923192,-0.2167643581872758,-0.3784139849298384,-0.23545345030127746,-0.04372694694466261,-0.061898446059017294,-0.4462659180778329,-0.11938607694636473,-0.25075949542063314,-0.4019677971092036,-0.45418934031140973,-0.48430875877067264,-0.15309310892394865,-0.08770580193070292,-0.2639496777264968,-0.3579271276943128,-0.20167872572895088,-0.15950019784171424,1
CHEMBL4464768,0.9222831883472684,-0.6354289083846192,-1.608111326727396,-0.9063695755599228,2.511244814404378,0.8043595536839535,0.1474504748979985,-0.4569202244240361,0.8129930701557553,0.349012318870492,-2.0583741168366427,1.6067808384824966,-2.0499829553840994,1.297352498433104,-1.291172096457125,0.7248934052768019,-0.5033668056146295,0.5999605858016757,-0.6014183592322695,-0.04372694694466262,-0.1347607035030933,0.9426603947262805,1.1161734001493344,1.1098817957713594,1.9308130737174334,-0.585803732230162,0.04524819813930056,1.3314566607679867,1.90149416973439,2.9438330734849716,-0.10471852796366939,-0.518513803456203,0.9822979997042365,-0.03304019613220075,-0.031068796353091344,0.42254957894155676,1.1893778696911672,-1.0179893699986615,-0.11239928525977902,1.1905072220633053,1.1454220685185248,0.5423083335488464,-0.3217631992494285,0.12926574132708304,-0.24378072467183712,1.2521188748877343,-0.24974691783191477,1.6927017485597278,-0.7500755286395843,-0.024261639417046992,2.1182678559650103,2.422314180978258,1.7478409872068048,-0.17086926388402837,-0.8671241038083055,-0.8336417920711423,3.013063524415944,-0.5262555530826715,1.1796104145959054,4.085099328442487,-0.21010639329923192,-0.37703792193577523,-0.7180728807965,-0.3211820274187865,-0.2550306852253353,-0.061898446059017294,-0.2939625106594369,0.8154725939837604,-0.15309310892394862,-0.16097423080369117,-0.10762440050012627,-0.09259550884879691,-0.0437269469446626,2.2048836855481273,-0.3825967465691291,-0.15696575405741428,0.5029627588963257,-0.11636000961466175,-0.04372694694466261,-0.04372694694466261,2.0568090454120385,-0.23297700836086113,1.592797727914815,-0.4282227337473876,1.7682121452291801,-0.07588252361140423,-0.29552172973624286,-0.17166696867363646,-0.1776179321658257,-0.32244371010678774,-0.061898446059017294,-0.3995677780833142,-0.21010639329923192,-0.2167643581872758,-0.3784139849298384,-0.23545345030127746,-0.04372694694466261,-0.061898446059017294,-0.4462659180778329,-0.11938607694636473,-0.25075949542063314,-0.4019677971092036,-0.45418934031140973,-0.48430875877067264,-0.15309310892394865,-0.08770580193070292,-0.2639496777264968,-0.3579271276943128,-0.20167872572895088,-0.15950019784171424,1
CHEMBL4539543,0.9447613253739292,-0.11395839080822608,-1.5829366654007344,-0.12308171013447931,2.882039087016224,0.7386595325648648,0.1474504748979985,-0.4569202244240361,0.6065139717050562,0.34901231270547955,-2.0584187009714037,1.6092755159929575,-2.0649837645837192,1.2996265949700656,-1.346520985553625,0.7248931855977351,-0.5033673087675159,0.5615322086201447,-0.8161830010416178,-0.04372694694466262,-0.1347607035030933,-0.0009585481138321373,1.1161734001493344,-0.32508850223712155,1.9308130737174334,-0.585803732230162,0.04524819813930056,2.2401933917809354,1.8582812244275888,3.288088445639519,-0.10471852796366939,-0.518513803456203,-0.18171676208730614,-0.03304019613220075,-0.031068796353091344,0.42254957894155676,1.1893778696911672,-1.0179893699986615,-0.11239928525977902,2.0114504801869595,1.5614348587250793,0.8909170034426883,0.3593129194385039,-0.5899286965016625,0.4569728570661499,1.2190993511003265,-0.2116062059918131,2.1332862325752138,0.5342473379869835,0.7571023889676072,2.172064059218423,2.422314180978258,2.9973207652373173,-0.17086926388402837,-0.8671241038083055,-0.8336417920711423,3.013063524415944,1.5316392962853873,1.8103408811757566,1.885107500997612,-0.21010639329923192,-0.37703792193577523,-0.7180728807965,-0.3211820274187865,-0.2550306852253353,-0.061898446059017294,-0.2939625106594369,1.4718591366066336,-0.15309310892394862,5.462392231938587,-0.10762440050012627,-0.09259550884879691,-0.0437269469446626,-0.3013181609317398,-0.3825967465691291,-0.15696575405741428,0.5029627588963257,-0.11636000961466175,-0.04372694694466261,-0.04372694694466261,2.0568090454120385,-0.23297700836086113,2.766673971835157,-0.4282227337473876,0.20178245106165624,-0.07588252361140423,-0.29552172973624286,-0.17166696867363646,-0.1776179321658257,-0.32244371010678774,-0.061898446059017294,1.4532951928517004,-0.21010639329923192,-0.2167643581872758,-0.3784139849298384,-0.23545345030127746,-0.04372694694466261,-0.061898446059017294,-0.4462659180778329,-0.11938607694636473,-0.25075949542063314,-0.4019677971092036,-0.45418934031140973,-0.48430875877067264,-0.15309310892394865,-0.08770580193070292,-0.2639496777264968,-0.3579271276943128,-0.20167872572895088,-0.15950019784171424,1
CHEMBL4438074,0.9266873088935044,-0.259163832509581,-1.5885989374829599,-0.029844870235335177,2.9443284898739384,0.7056683583736479,0.1474504748979985,-0.4569202244240361,0.6921089434264369,0.34901230988424925,-2.058416461736305,1.6082762632869496,-2.060403309244648,1.2991259382265123,-1.2951956768431343,0.7248923354142127,-0.5033671583319654,0.5320395442076216,-0.7910728876682499,-0.04372694694466262,-0.1347607035030933,-0.0009585481138321373,1.1161734001493344,0.39239664676711866,1.9308130737174334,-0.585803732230162,0.04524819813930056,1.920334244964469,1.2598775519333116,2.940798446256457,-0.10471852796366939,-0.518513803456203,0.40029061880846534,-0.03304019613220075,-0.031068796353091344,0.42254957894155676,1.1893778696911672,-1.0179893699986615,-0.11239928525977902,3.237048423841877,0.601313136450614,0.8909170034426883,-0.008192607207020718,-0.1105927598744445,-0.02100976939465038,0.7959887090802826,-0.22315401751099712,1.7275082322169455,0.2093591940970118,0.02959820773915176,2.1182678559650103,2.422314180978258,2.9973207652373173,-0.17086926388402837,-0.8671241038083055,-0.8336417920711423,3.013063524415944,1.5316392962853873,1.8103408811757566,1.885107500997612,-0.21010639329923192,-0.37703792193577523,-0.7180728807965,-0.3211820274187865,-0.2550306852253353,-0.061898446059017294,-0.2939625106594369,1.4718591366066336,-0.15309310892394862,5.462392231938587,-0.10762440050012627,-0.09259550884879691,-0.0437269469446626,0.9517827623081938,-0.3825967465691291,-0.15696575405741428,0.5029627588963257,-0.11636000961466175,-0.04372694694466261,-0.04372694694466261,2.0568090454120385,-0.23297700836086113,1.592797727914815,-0.4282227337473876,0.9849972981454181,-0.07588252361140423,-0.29552172973624286,-0.17166696867363646,-0.1776179321658257,-0.32244371010678774,-0.061898446059017294,-0.3995677780833142,-0.21010639329923192,-0.2167643581872758,-0.3784139849298384,-0.23545345030127746,-0.04372694694466261,-0.061898446059017294,-0.4462659180778329,-0.11938607694636473,-0.25075949542063314,-0.4019677971092036,-0.45418934031140973,-0.48430875877067264,-0.15309310892394865,-0.08770580193070292,-0.2639496777264968,-0.3579271276943128,-0.20167872572895088,-0.15950019784171424,1
