Metric,Value
Best hyperparameters,alpha=1
Accuracy (CV),0.814 (±0.044)
Precision (CV),0.836 (±0.043)
Recall (CV),0.788 (±0.047)
F1-score (CV),0.811 (±0.045)
ROC AUC (CV),0.881 (±0.033)
Accuracy (Test),0.803
Precision (Test),0.824
Recall (Test),0.772
F1-score (Test),0.797
ROC AUC (Test),0.857
