Metric,Value
Best hyperparameters,"activation=logistic, alpha=0.01, hidden_layer_sizes=(64,), learning_rate_init=0.1, max_iter=500, solver=adam"
Accuracy (CV),0.842 (±0.025)
Precision (CV),0.837 (±0.021)
Recall (CV),0.855 (±0.068)
F1-score (CV),0.844 (±0.030)
ROC AUC (CV),0.912 (±0.036)
Accuracy (Test),0.815
Precision (Test),0.879
Recall (Test),0.734
F1-score (Test),0.800
ROC AUC (Test),0.920
