Metric,Value
Best hyperparameters,"learning_rate=0.1, max_depth=3, min_samples_split=2, n_estimators=100"
Accuracy (CV),0.888 (±0.022)
Precision (CV),0.889 (±0.030)
Recall (CV),0.888 (±0.036)
F1-score (CV),0.888 (±0.023)
ROC AUC (CV),0.946 (±0.019)
Accuracy (Test),0.863
Precision (Test),0.859
Recall (Test),0.871
F1-score (Test),0.865
ROC AUC (Test),0.952
