Metric,Value
Best hyperparameters,"activation=tanh, alpha=0.001, hidden_layer_sizes=(64,), learning_rate_init=0.001, max_iter=500, solver=adam"
Accuracy (CV),0.792 (±0.041)
Precision (CV),0.795 (±0.045)
Recall (CV),0.793 (±0.082)
F1-score (CV),0.791 (±0.048)
ROC AUC (CV),0.879 (±0.024)
Accuracy (Test),0.746
Precision (Test),0.720
Recall (Test),0.818
F1-score (Test),0.766
ROC AUC (Test),0.841
