Metric,Value
Best hyperparameters,"activation=logistic, alpha=0.01, hidden_layer_sizes=(64,), learning_rate_init=0.1, max_iter=500, solver=adam"
Accuracy (CV),0.773 (±0.029)
Precision (CV),0.765 (±0.037)
Recall (CV),0.804 (±0.096)
F1-score (CV),0.780 (±0.040)
ROC AUC (CV),0.862 (±0.020)
Accuracy (Test),0.783
Precision (Test),0.747
Recall (Test),0.862
F1-score (Test),0.800
ROC AUC (Test),0.857
