Metric,Value
Best hyperparameters,"max_depth=None, max_features=log2, min_samples_leaf=2, min_samples_split=5, n_estimators=300"
Accuracy (CV),0.890 (±0.032)
Precision (CV),0.890 (±0.033)
Recall (CV),0.892 (±0.064)
F1-score (CV),0.889 (±0.034)
ROC AUC (CV),0.950 (±0.019)
Accuracy (Test),0.885
Precision (Test),0.886
Recall (Test),0.886
F1-score (Test),0.886
ROC AUC (Test),0.962
