O=C2OC1=C(C(OC)=C(O)C=C1C=C2)C(=O)C,Compound206
O=C2OC1=C(C(OC)=CC=C1C=C2)C(=O)C,Compound207
O=C2OC=1/C=C(/OC)C(=CC=1C=C2)OC,Compound208
O=C3O/C2=C(\O[C@@]1([H])O[C@@]([H])(CO)[C@@](O)([H])[C@](O)([H])[C@@]1(O)[H])C(O)=C(C=C2C=C3)OC,Compound209
O=C2OC=1C=C(C=CC=1C(C)=C2)OC,Compound210
O=C3OC=2C=C1OC=C/C1=C(\O)C=2C=C3,Compound211
O=C2OC=1C=CC=CC=1/C=C2/NC(=O)C,Compound212
O=C2OC=1/C=C(/OC)C(=CC=1C(C)=C2)OC,Compound213
NC/C1=N/C=CN=C1,Compound304
O=C3C(O[C@@]2([H])O[C@@]([H])(COC(=O)C=C/C1=C/C=C(/O)C=C1)[C@@](O)([H])[C@](O)([H])[C@@]2(O)[H])=C(OC=4/C=C(/O)C=C(O)C3=4)C5=C/C=C(/O)C=C5,Compound330
O=C1C=C(OC=2C=C(/C=C(/O)C1=2)O[C@@]3([H])O[C@@]([H])(CO)[C@@](O)([H])[C@](O)([H])[C@]3([H])O[C@@]4([H])OC[C@@](O)(CO)[C@]4(O)[H])C5=C/C=C(/O)C=C5,Compound331
O=C1C=C(OC=2C=C(/C=C(/O)C1=2)O[C@@]3([H])O[C@@]([H])(CO)[C@@](O)([H])[C@](O)([H])[C@@]3(O)[H])C4=C/C=C(/O)C=C4,Compound332
O=C1C=C(OC2=C1C(O)=CC(O)=C2[C@@]3([H])O[C@@]([H])(CO)[C@@](O)([H])[C@](O)([H])[C@]3([H])O[C@@]4([H])O[C@](C)([H])[C@@](O)([H])[C@](O)([H])[C@]4(O)[H])C5=C/C=C(/O)C=C5,Compound333
O=C1C=C(OC=2C=C(/C=C(/OC)C1=2)OC)C3=CC=CC=C3,Compound334
O=C4C=C(OC5=CC(O)=C(O/C1=C/C=C(C=C1)C=3OC=2/C=C(/O)C=C(O)C=2C(=O)C=3)C(O)=C45)C6=C/C=C(/O)C=C6,Compound335
O=C1C=C(OC2=C1C(O)=CC(O)=C2C=3C=C(C=CC=3OC)C=5OC=4C=C(/C=C(/O)C=4C(=O)C=5)OC)C6=CC=C(C=C6)OC,Compound336
O=C2C(O[C@@]1([H])O[C@@]([H])(CO)[C@](O)([H])[C@](O)([H])[C@@]1(O)[H])=C(OC=3/C=C(/O)C=C(O)C2=3)C4=CC(O)=C(O)C=C4,Compound337
O=C1C(O)=C(OC=2/C=C(/O)C=C(O)C1=2)C3=CC(O)=C(O)C(O)=C3,Compound338
O=C1C(O)=C(OC2=CC(O)=C(O)C(O)=C12)C3=CC(O)=C(O)C=C3,Compound339
O=C3C(O[C@@]2([H])O[C@@]([H])(OC[C@@]1([H])O[C@@](C)([H])[C@](O)([H])[C@@](O)([H])[C@@]1(O)[H])[C@@](O)([H])[C@](O)([H])[C@@]2(O)[H])=C(OC=4C=C(/C=C(/O)C3=4)O[C@@]5([H])O[C@@](C)([H])[C@](O)([H])[C@@](O)([H])[C@@]5(O)[H])C6=C/C=C(/O)C=C6,Compound340
O=C3C=1C=CC(O)=CC=1O[C@@]([H])(C2=CC(O)=C(O)C(O)=C2)[C@@]3(O)[H],Compound341
O=C1C[C@]([H])(OC=2/C=C(/O)C=C(O)C1=2)C3=CC(OC)=C(OC)C(=C3)OC,Compound342
O=C4C5=C(O[C@]([H])(C3=CC=2O[C@]([H])(C1=CC(OC)=C(O)C=C1)[C@]([H])(OC=2C=C3)CO)[C@]4(O)[H])C=C(O)C=C5O,Compound343
O=C(/C=C/C1=C/C=CC=C1)C2=CC=CC=C2,Compound344
O=C(/C=C/C1=C/C=C(/O)C=C1)C2=C(OC)C=C(/C=C2/O)OC,Compound345
O=C(/C=C/C1=C/C=C(C=C1)OC)C2=C(OC)C=C(/C=C2/O)OC,Compound346
O=C(CC/C1=C/C=C(/O)C=C1)C2=C(O)C=C(O)C=C2O,Compound347
O=C(CC/C1=C/C=C(/O)C=C1)C3=C(O[C@@]2([H])O[C@@]([H])(CO)[C@@](O)([H])[C@](O)([H])[C@@]2(O)[H])C=C(O)C=C3O,Compound348
O=C1C3=C(O/C=C1/C2=C/C=C(/O)C=C2)C=C(/C=C3/O)O[C@@]4([H])O[C@@]([H])(CO)[C@@](O)([H])[C@](O)([H])[C@@]4(O)[H],Compound349
O=C3C(O[C@@]2([H])O[C@@]([H])(CO[C@@]1([H])O[C@@](C)([H])[C@](O)([H])[C@@](O)([H])[C@@]1(O)[H])[C@@](O)([H])[C@](O)([H])[C@@]2(O)[H])=C(OC=4/C=C(/O)C=C(O)C3=4)C5=C/C=C(/O)C=C5,Compound350
O=C1C=C(OC2=C1C(O)=CC(O)=C2[C@@]3([H])O[C@@]([H])(CO)[C@@](O)([H])[C@](O)([H])[C@@]3(O)[H])C4=CC(O)=C(O)C=C4,Compound351
O=C1C=C(OC2=CC(O)=C(C(O)=C12)[C@@]3([H])O[C@@]([H])(CO)[C@@](O)([H])[C@](O)([H])[C@@]3(O)[H])C4=CC(O)=C(O)C=C4,Compound352
O=C1C=C(OC2=C1C(O)=CC(O)=C2C=3C=C(C=CC=3O)C=5OC=4/C=C(/O)C=C(O)C=4C(=O)C=5)C6=C/C=C(/O)C=C6,Compound353
O=C1C(O)=C(OC=2C=C(/C=C(/O)C1=2)O[C@@]3([H])O[C@@]([H])(CO)[C@@](O)([H])[C@](O)([H])[C@]3([H])O[C@]4([H])O[C@@](C)([H])[C@](O)([H])[C@@](O)([H])[C@]4(O)[H])C5=CC(O)=CC=C5,Compound354
O=C1C(OC)=C(OC=2C=C(/C=C(/O)C1=2)OC)C3=CC=C(C=C3)OC,Compound355
O=C1C(OC)=C(OC=2C=C(/C=C(/O)C1=2)OC)C3=CC(OC)=C(C=C3)OC,Compound356
O=C(/C=C/C1=C/C=C(C=C1)OC)C2=C(O)C=C(/C=C2/O)OC,Compound357
O=C(CC/C1=C/C=C(C=C1)OC)C2=C(O)C=C(/C=C2/O)OC,Compound358
O=C1C=C(OC=2/C=C(/O)C=C(O)C1=2)C3=CC(O)=C(C=C3)O[C@@]4([H])O[C@@]([H])(CO)[C@@](O)([H])[C@@](O)([H])[C@@]4(O)[H],Compound359
O=C1C=C(OC2=CC(O)=C(OC)C(O)=C12)C3=CC(O)=C(O)C=C3,Compound360
O=C1C[C@]([H])(OC=2C=C(/C=C(/O)C1=2)OC)C3=CC=CC=C3,Compound361
O=C1C(=COC=2C=C(C=CC1=2)O[C@@]3([H])O[C@@]([H])(CO)[C@@](O)([H])[C@](O)([H])[C@@]3(O)[H])C4=C/C=C(/O)C=C4,Compound362
O=C2C(O[C@@]1([H])O[C@@]([H])(COC(=O)C)[C@@](O)([H])[C@](O)([H])[C@@]1(O)[H])=C(OC=3/C=C(/O)C=C(O)C2=3)C4=CC(O)=C(O)C=C4,Compound363
O=C1C=C(OC=2/C=C(/O)C=C(O)C1=2)C3=CC=C(C=C3)OC,Compound364
O=C1C=C(OC=2/C=C(/O)C=C(O)C1=2)C3=C/C=C(/O)C=C3,Compound365
O=C(/C=C/C1=C/C(O)=C(O)C=C1)C=2C=CC(O)=CC=2O,Compound366
O=C1C=C(OC=2/C=C(/O)C=C(O)C1=2)C3=CC(OC)=C(O)C=C3,Compound367
O=C1C=C(OC=2/C=C(/O)C=C(O)C1=2)C3=CC(OC)=C(OC)C(=C3)OC,Compound368
O=C1C=C(OC=2/C=C(/O)C=C(O)C1=2)C3=CC(O)=C(C=C3)OC,Compound369
O=C1C=C(OC=2C=C(/C=C(/O)C1=2)O[C@@]4([H])O[C@@]([H])(CO[C@@]3([H])O[C@@](C)([H])[C@](O)([H])[C@@](O)([H])[C@@]3(O)[H])[C@@](O)([H])[C@](O)([H])[C@@]4(O)[H])C5=CC(O)=C(C=C5)OC,Compound370
O=C1C[C@]([H])(OC=2C=C(/C=C(/O)C1=2)O[C@@]4([H])O[C@@]([H])(CO[C@@]3([H])O[C@@](C)([H])[C@](O)([H])[C@@](O)([H])[C@@]3(O)[H])[C@@](O)([H])[C@](O)([H])[C@@]4(O)[H])C5=CC(O)=C(O)C=C5,Compound371
O=C1C[C@]([H])(OC=2/C=C(/O)C=C(O)C1=2)C3=CC(O)=C(O)C=C3,Compound372
O=C1C[C@@]([H])(OC=2C=C(/C=C(/O)C1=2)O[C@@]3([H])O[C@@]([H])(CO)[C@@](O)([H])[C@](O)([H])[C@@]3(O)[H])C4=CC(O)=C(O)C=C4,Compound373
O=C1C(O)=C(OC=2/C=C(/O)C=C(O)C1=2)C3=CC=CC=C3,Compound374
O=C1C[C@]([H])(OC=2/C=C(/O)C=C(O)C1=2)C3=CC(O)=C(C=C3)OC,Compound375
O=C1C[C@]([H])(OC=2C=C(/C=C(/O)C1=2)O[C@@]4([H])O[C@@]([H])(CO[C@@]3([H])O[C@@](C)([H])[C@](O)([H])[C@@](O)([H])[C@@]3(O)[H])[C@@](O)([H])[C@](O)([H])[C@@]4(O)[H])C5=CC(O)=C(C=C5)OC,Compound376
O=C(/C=C/C1=C/C(OC)=C(O)C=C1)C=2C=CC(O)=CC=2O,Compound377
O=C1C[C@]([H])(OC=2/C=C(/O)C=C(O)C1=2)C3=CC(OC)=C(O)C=C3,Compound378
O=C1C(O)=C(OC=2/C=C(/O)C=C(O)C1=2)C3=CC(OC)=C(O)C=C3,Compound379
O=C1C=C(OC=2C=C(/C=C(/O)C1=2)O[C@@]4([H])O[C@@]([H])(CO[C@@]3([H])O[C@@](C)([H])[C@](O)([H])[C@@](O)([H])[C@@]3(O)[H])[C@@](O)([H])[C@@](O)([H])[C@@]4(O)[H])C5=C/C=C(/O)C=C5,Compound380
O=C1C[C@]([H])(OC=2/C=C(/O)C=C(O)C1=2)C3=CC=C(C=C3)OC,Compound381
O=C1C(O)=C(OC=2/C=C(/O)C=C(O)C1=2)C3=C/C=C(/O)C=C3,Compound382
O=C1C(O)=C(OC=2/C=C(/O)C=C(O)C1=2)C3=C/C=C(/O)C=C3,Compound383
O=C1C=C(OC=2/C=C(/O)C=C(O)C1=2)C3=CC(O)=C(O)C=C3,Compound384
O=C1C=C(OC=2C=C(/C=C(/O)C1=2)O[C@@]3([H])O[C@@]([H])(CO)[C@@](O)([H])[C@](O)([H])[C@@]3(O)[H])C4=CC(O)=C(O)C=C4,Compound385
O=C1C(O)=C(OC=2/C=C(/O)C=C(O)C1=2)C3=CC(O)=C(O)C(O)=C3,Compound386
O=C1C[C@]([H])(OC=2/C=C(/O)C=C(O)C1=2)C3=C/C=C(/O)C=C3,Compound387
O=C1C[C@@]([H])(OC=2C=C(/C=C(/O)C1=2)O[C@@]3([H])O[C@@]([H])(CO)[C@@](O)([H])[C@](O)([H])[C@]3([H])O[C@]4([H])O[C@@](C)([H])[C@](O)([H])[C@@](O)([H])[C@@]4(O)[H])C5=C/C=C(/O)C=C5,Compound388
O=C1C[C@@]([H])(OC=2C=C(/C=C(/O)C1=2)O[C@@]4([H])O[C@@]([H])(CO[C@@]3([H])O[C@@](C)([H])[C@](O)([H])[C@@](O)([H])[C@@]3(O)[H])[C@@](O)([H])[C@](O)([H])[C@@]4(O)[H])C5=C/C=C(/O)C=C5,Compound389
O=C1C[C@@]([H])(OC=2C=C(/C=C(/O)C1=2)O[C@@]3([H])O[C@@]([H])(CO)[C@@](O)([H])[C@@](O)([H])[C@]3([H])O[C@@]4([H])O[C@@](C)([H])[C@](O)([H])[C@](O)([H])[C@@]4(O)[H])C5=CC(O)=C(O)C=C5,Compound390
O=C1C[C@@]([H])(OC=2C=C(/C=C(/O)C1=2)O[C@@]3([H])O[C@@]([H])(CO)[C@@](O)([H])[C@](O)([H])[C@]3([H])O[C@]4([H])O[C@@](C)([H])[C@](O)([H])[C@@](O)([H])[C@@]4(O)[H])C5=CC(O)=C(C=C5)OC,Compound391
O=C1C[C@@]([H])(OC=2C=C(/C=C(/O)C1=2)O[C@@]3([H])O[C@@]([H])(CO)[C@@](O)([H])[C@](O)([H])[C@]3([H])O[C@]4([H])O[C@@](C)([H])[C@](O)([H])[C@@](O)([H])[C@@]4(O)[H])C5=CC=C(C=C5)OC,Compound392
O=C1C=C(OC=2/C=C(/O)C=CC1=2)C3=CC=C(C=C3)OC,Compound393
O=C1C(O)=C(OC=2/C=C(/O)C=C(O)C1=2)C3=CC(O)=C(O)C=C3,Compound394
O=C1C(O)=C(OC=2C=C(/C=C(/O)C1=2)OC)C3=CC(O)=C(O)C=C3,Compound395
O=C1C=C(OC=2C=C(/C=C(/O)C1=2)O[C@@]3([H])O[C@@]([H])(CO)[C@@](O)([H])[C@](O)([H])[C@]3([H])O[C@]4([H])O[C@@](C)([H])[C@](O)([H])[C@@](O)([H])[C@@]4(O)[H])C5=C/C=C(/O)C=C5,Compound396
O=C1C(O)=C(OC=2/C=C(/O)C=CC1=2)C3=CC(O)=C(O)C(O)=C3,Compound397
O=C3C(O[C@@]2([H])O[C@@]([H])(CO[C@@]1([H])O[C@@](C)([H])[C@](O)([H])[C@@](O)([H])[C@@]1(O)[H])[C@@](O)([H])[C@](O)([H])[C@@]2(O)[H])=C(OC=4/C=C(/O)C=C(O)C3=4)C5=CC(O)=C(O)C=C5,Compound398
O=C1C(O)=C(OC=2/C=C(/O)C=C(O)C1=2)C3=CC(O)=C(C=C3)OC,Compound399
O=C1C(O)=C(OC=2/C=C(/O)C=C(O)C1=2)C=3C=CC=CC=3O,Compound400
O=C2C(O[C@@]1([H])O[C@]([H])([C@@](O)([H])[C@](O)([H])[C@@]1(O)[H])[C@](O)([H])[C@](O)([H])[C@](O)([H])CO)=C(OC=3/C=C(/O)C=C(O)C2=3)C4=CC(O)=C(O)C=C4,Compound401
O=C1C[C@]([H])(OC=2/C=C(/O)C=CC1=2)C3=C/C=C(/O)C=C3,Compound402
O=C1C[C@@]([H])(OC=2C=C(/C=C(/O)C1=2)O[C@]3([H])O[C@]([H])(CO)[C@](O)([H])[C@@](O)([H])[C@]3(O)[H])C4=C/C=C(/O)C=C4,Compound403
O=C1C[C@]([H])(OC=2/C=C(/O)C=C(O)C1=2)C3=CC=CC=C3,Compound404
O=C1C=C(OC2=CC(O)=C(O)C(O)=C12)C3=C/C=C(/O)C=C3,Compound405
O=C1C[C@@]([H])(OC=2C=C(/C=C(/O)C1=2)O[C@@]4([H])O[C@@]([H])(CO[C@@]3([H])O[C@@](C)([H])[C@](O)([H])[C@@](O)([H])[C@@]3(O)[H])[C@@](O)([H])[C@](O)([H])[C@@]4(O)[H])C5=CC=C(C=C5)OC,Compound406
O=C1C(O)=C(OC=2/C=C(/O)C=CC1=2)C3=CC(O)=C(O)C=C3,Compound407
O=C1C(O)=C(OC=2/C=C(/O)C=CC1=2)C3=CC(OC)=C(O)C=C3,Compound408
O=C1C=C(OC=2C=C(/C=C(/O)C1=2)O[C@@]4([H])O[C@@]([H])(CO[C@@]3([H])O[C@@](C)([H])[C@](O)([H])[C@@](O)([H])[C@@]3(O)[H])[C@@](O)([H])[C@](O)([H])[C@@]4(O)[H])C5=CC=C(C=C5)OC,Compound409
O=C1C(OC)=C(OC=2C=CC=CC1=2)C3=CC=CC=C3,Compound410
O=C1C(O)=C(OC=2/C=C(/O)C=C(O)C1=2)C3=CC(O)=C(C=C3)O[C@@]4([H])O[C@@]([H])(CO)[C@@](O)([H])[C@](O)([H])[C@@]4(O)[H],Compound411
O=C(C)N(/N=C1\C[C@]([H])(OC=2C=CC=CC1=2)C3=CC=CC=C3)C(=O)C,Compound412
O=C(/C=C/C1=C/C=C(C=C1)OC)C2=CC=CC=C2,Compound413
O=C(/C=C/C1=C/C=CC=C1)C2=CC=C(C=C2)OC,Compound414
O=C1C=C(OC2=C1C(O)=CC(O)=C2O)C3=CC=CC=C3,Compound415
O=C2C(O[C@@]1([H])O[C@@]([H])(CO)[C@@](O)([H])[C@@](O)([H])[C@@]1(O)[H])=C(OC=3/C=C(/O)C=C(O)C2=3)C4=CC(OC)=C(O)C=C4,Compound416
O=C(CC/C1=C/C(O)=C(C=C1)OC)C2=C(O)C=C(/C=C2/O)O[C@@]3([H])O[C@@]([H])(CO)[C@@](O)([H])[C@](O)([H])[C@]3([H])O[C@]4([H])O[C@@](C)([H])[C@](O)([H])[C@@](O)([H])[C@@]4(O)[H],Compound417
O=C1C=C(OC2=C1C(O)=CC(O)=C2[C@@]3([H])O[C@@]([H])(CO)[C@](O)([H])[C@](O)([H])[C@@]3(O)[H])C4=C/C=C(/O)C=C4,Compound418
O=C1C(=COC2=C1C=CC(O)=C2[C@@]3([H])O[C@@]([H])(CO)[C@@](O)([H])[C@@](O)([H])[C@@]3(O)[H])C4=C/C=C(/O)C=C4,Compound419
O=C1C=C(OC2=CC(O)=C(C(O)=C12)[C@@]3([H])O[C@@]([H])(CO)[C@@](O)([H])[C@](O)([H])[C@@]3(O)[H])C4=C/C=C(/O)C=C4,Compound420
O=C2C(O[C@@]1([H])O[C@@](C)([H])[C@](O)([H])[C@@](O)([H])[C@@]1(O)[H])=C(OC=3/C=C(/O)C=C(O)C2=3)C4=CC(O)=C(O)C=C4,Compound421
O=C1C[C@]([H])(OC=2/C=C(/OC)C(=CC1=2)C/C=C(\C)C)C3=C/C=C(/O)C=C3,Compound422
O=C2C=C(OC3=CC(O[C@@]1([H])O[C@@]([H])(CO)[C@@](O)([H])[C@](O)([H])[C@@]1(O)[H])=C(C(O)=C23)[C@@]4([H])O[C@@]([H])(CO)[C@@](O)([H])[C@](O)([H])[C@@]4(O)[H])C5=C/C=C(/O)C=C5,Compound423
O=C1C(O)=C(OC=2/C=C(/O)C=C(O)C1=2)C3=CC(OC)=C(O)C(=C3)OC,Compound424
O=C1C(=COC2=C1C=CC(O)=C2O[C@@]3([H])O[C@@]([H])(CO)[C@@](O)([H])[C@](O)([H])[C@@]3(O)[H])C4=C/C=C(/O)C=C4,Compound425
O=C2C(O[C@@]1([H])O[C@@]([H])(CO)[C@@](O)([H])[C@](O)([H])[C@@]1(O)[H])=C(OC=3/C=C(/O)C=C(O)C2=3)C4=C/C=C(/O)C=C4,Compound426
O=C1C3=C(O/C=C1/C2=C/C=C(C=C2)OC)C=C(/C=C3/O)O[C@@]4([H])O[C@@]([H])(CO)[C@@](O)([H])[C@@](O)([H])[C@@]4(O)[H],Compound427
