PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,RESPONSE_VALUE
RESULT_TYPE,,,,,,,,INTEGER
RESULT_DESCR,,,,,,,,Percent Inhibition calculated with linear normalized Negative Controls.
RESULT_UNIT,,,,,,,,PERCENT
RESULT_ATTR_CONC_MICROMOL,,,,,,,,10
1,843259,645540,CC1=C(C=CO1)C2=NN=C(N2C)SCC(=O)NC3=NON=C3C,Active,44,,,44
2,844697,647027,C1=CC2=C3C(=C1)NC(NC3=CC=C2)C4=CC=CO4,Active,42,,,42
3,845056,647392,C1C=CC2C1C(NC3=CC=CC=C23)C4=CC=NC=C4,Active,55,,,55
4,846686,649080,CC1=CC=C(O1)C2=NC(=C(C(=C2)C3=CC=CC=C3)C#N)N,Active,42,,,42
5,847206,6603137,C1CCCN(CC1)C2=CC=C(C=C2)N.Cl,Active,43,,,43
6,848277,650715,COC1=CC2=C(C=C1)C=C(C(=O)N2)CN(CCC3=CC=CC=C3)CC4=NN=NN4CC5CCCO5,Active,44,,,44
7,849486,135417056,CC(=NCCCN1C=CN=C1)C2=C(C3=CC=CC=C3C2=O)O,Active,63,,,63
8,851187,653747,COC1=CC=CC(=C1)NC(=O)CSC2=NN=CN2N,Active,41,,,41
9,853195,655850,CC(=O)OC1=C(C=C(C=C1)C2NC3=CC=CC4=C3C(=CC=C4)N2)OC,Active,43,,,43
10,855944,443939,C[C@H]1[C@H]([C@H](C[C@@H](O1)O[C@H]2C[C@@](CC3=C2C(=C4C(=C3O)C(=O)C5=C(C4=O)C(=CC=C5)OC)O)(C(=O)CO)O)N)O.Cl,Active,60,,,60
11,857742,659099,C1CSC(=N1)NC(=O)NC23CC4CC(C2)CC(C4)C3,Active,60,,,60
12,857882,659226,CCOC(=O)C(C1=C2C3=C(C4=CC=CC=C4C2=O)ON=C3C(=C1)Br)C(=O)OCC,Active,43,,,43
