PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,RESPONSE_VALUE
13,858057,659413,C1=CC=C2C(=C1)C3=C4C(=NO3)C=CC(=C4C2=O)NCC5=CC=CO5,Active,40,,,40
14,858812,660120,CC1=CC(=CO1)C2=CC(=NC(=C2C#N)N)C3=CC=C(C=C3)Cl,Active,40,,,40
15,860289,661591,CC1=C(SC(=S)N1C)NC(=O)NC(=O)C,Active,56,,,56
16,862610,663844,C1=CC=C2C(=C1)C3=C4C(=NO3)C=CC(=C4C2=O)NCCCN5C=CN=C5,Active,79,,,79
17,863193,664440,CCOC(=O)C1=CC2=C(N=C3C(=CC=CN3C2=O)C)N(C1=NC(=O)C4=CN=CC=C4)CC5=CC=CO5,Active,40,,,40
18,3712357,2079240,CC1=CC=C(O1)/C=C/C2=CC3=C(C(C2)(C)C)SC(=C3C#N)NC(=O)CSC4=NNC(=N4)N,Active,47,,,47
19,3717019,1990994,C/C(=C\C1=CC=CO1)/C2NC3=CC=CC4=C3C(=CC=C4)N2,Active,45,,,45
20,4243820,3238500,COC1=C(C=C(C=C1)CCNC(=O)C2=CC3=C(C=C2)N=C(C(=N3)C4=CC=CO4)C5=CC=CO5)OC,Active,42,,,42
21,4244531,3239115,CCOC(=O)C1CCCN(C1)C2=NC=NC3=C2C=NN3C4=CC=CC(=C4)C,Active,47,,,47
22,4244617,6602921,CCN(CC)C1=CC2=C(C=C1)NCCC2.Cl,Active,62,,,62
23,4244763,3239318,CC1=C(C(=O)N(C(=O)C1=NC2=CC=C(C=C2)N(C)C)CCCO)C#N,Active,58,,,58
24,4244935,3239469,C1CN(CCC12OCCO2)C3=CC(=C4C5=C(C6=CC=CC=C6C4=O)ON=C35)NCCCC(=O)O,Active,42,,,42
25,4245216,3239711,C1=CC=NC(=C1)CNC(=O)C2=CC3=C(C=C2)N=C(C(=N3)C4=CC=CO4)C5=CC=CO5,Active,43,,,43
26,4247117,761640,COC1=CC(=CC(=C1O)OC)C2NC3=CC=CC4=C3C(=CC=C4)N2,Active,57,,,57
27,4248618,712700,C1CC2=C(C3=C1N(N=C3)C4=CC=CC=C4)N=C(S2)N,Active,41,,,41
28,4252106,3245701,CCOC(=O)N1CCN(CC1)C2=CC(=C3C4=C(C5=CC=CC=C5C3=O)ON=C24)NCCC(=O)O,Active,43,,,43
29,4255147,542822,C1=CC=C(C=C1)C2=NN(C(=C2)C#N)C3=CC=CC=C3,Active,57,,,57
30,4257119,784224,CC1=CC=C(C=C1)CNC2=CC3=C(C=C2)OCO3,Active,40,,,40
31,4258186,2213073,C1=CC=C(C=C1)NC(=O)C2=CC3=C(C=C2)N=C(C(=N3)C4=CC=CO4)C5=CC=CO5,Active,45,,,45
32,4258304,1305910,C1CCN(C1)C(=O)C2=CC=CC=C2NS(=O)(=O)C3=CC=C(S3)Br,Active,49,,,49
33,4258373,737989,CCNC(=O)N1C2=C(C=C(C=C2)OCC)C(=CC1(C)C)C,Active,40,,,40
34,4258586,755971,CCOC1=CC=C(C=C1)CNC2=CC=C(C=C2)N3CCCC3,Active,42,,,42
35,4258795,2214811,C1CCCN(CC1)C(=O)NC2=CC3=C(C=C2)N=C(C(=N3)C4=CC=CO4)C5=CC=CO5,Active,54,,,54
36,4259693,2064238,C1CC2=C(C=C3C(=C(SC3=N2)C(=O)NCC4=CC=CO4)N)C(=O)C1,Active,48,,,48
37,4261208,938026,CC1=CC2=NN(N=C2C=C1N)C3=CC=CC4=CC=CC=C43,Active,48,,,48
38,4263807,2950528,CC1=CC(=C(C=C1OCC(=O)N)S(=O)(=O)NCC2CCCO2)Cl,Active,48,,,48
39,7972200,783279,CC1=CC=C(O1)C2=C(C(=S)NC3=C2CCCC3)C#N,Active,41,,,41
40,7972521,6858585,COC1=CC=C(C=C1)/C=N/N2C=C(N=C2N)C3=CC=CC=C3,Active,65,,,65
41,7975598,711446,CC(C)CC1=CC(=C(C(=N1)N)C#N)C2=CC=CO2,Active,73,,,73
42,7977430,873464,CC1=C(C(=NC(=S)N1CC=C)N2CCOCC2)C(=O)C,Active,48,,,48
43,7977854,707882,COC1=CC2=C(C=C1)OC(=C2C(=O)N3CCOCC3)C4=CC=CC=C4,Active,60,,,60
44,7978261,2925160,CCOC(=O)C1CCN(CC1)C(=O)NC2=CC3=C(C=C2)N=C(C(=N3)C4=CC=CO4)C5=CC=CO5,Active,60,,,60
45,7978350,135401706,COC(=O)CC1=CC(=O)NC(=N1)NC2=NC3=CC=CC=C3O2,Active,64,,,64
46,11532952,6852389,CN1CCC2=C3[C@@H]1CC4=C(C3=CC=C2)C(=C(C=C4)O)O.Cl,Active,40,,,40
47,14718751,1002248,CN(C)C1=NC=C(S1)C2=C(C(=O)C(=C(C2=O)Cl)N3CCCC3)Cl,Active,92,,,92
48,14719117,9549141,C1=CC=C(C=C1)C2=CC3=C(C=C2)C(=O)C(=O)C4=CC=CC=C43,Active,41,,,41
49,14719120,7314627,CNC1=CC=C(C=C(C1=O)C(=O)/C=C/C2=C(C=CC(=C2)OC)OC)Br,Active,42,,,42
50,14719242,841625,COC1=CC=C(C=C1)C(=S)N2CCCCCC2,Active,52,,,52
51,14719251,1002249,CN1CCN(CC1)C2=C(C(=O)C(=C(C2=O)Cl)C3=CN=C(S3)N4CCCCC4)Cl,Active,54,,,54
52,14719252,406171,C1CCN(CC1)C2=C(C(=O)C(=C(C2=O)Cl)C3=CN=C(S3)N4CCCCC4)Cl,Active,91,,,91
53,14720421,2246180,C1=CC=C(C=C1)OC2=CC(=C3C4=C(C5=CC=CC=C5C3=O)ON=C24)O,Active,43,,,43
54,14721060,1072898,C1CC1NC(=O)NC2=CC3=C(C=C2)N=C(C(=N3)C4=CC=CO4)C5=CC=CO5,Active,50,,,50
55,14721316,135444823,C1C(=C(C(=N)N1CC2=CC=CC=C2)C3=NC4=CC=CC=C4S3)O,Active,68,,,68
56,14722377,2849237,CCOC(=O)CCCNC(=O)C1=CC(=CN=C1)O.Cl,Active,46,,,46
57,14727109,3157644,C1=COC(=C1)C2=NC3=C(C=C(C=C3)C(=O)NCCO)N=C2C4=CC=CO4,Active,54,,,54
58,14728132,830670,CC1N(C2=CC=CC3=C2C(=CC=C3)N1C)C,Active,43,,,43
59,14730146,2225555,C1=CC=C(C(=C1)OCC(=O)NCC2=CC=CC=N2)Br,Active,44,,,44
60,14730541,5797751,C1=CC=C(C=C1)C(=O)/C(=C/C2=CC=CC=C2Cl)/N3C=CC=CC3=C(C#N)C#N,Active,59,,,59
61,14732440,882402,CC1=CC(=C(N1C2=C(C=CC(=C2)Cl)OC)C)C=O,Active,62,,,62
62,14733544,2301472,C1=COC(=C1)C2=NC3=C(C=C(C=C3)NC(=O)NCCCO)N=C2C4=CC=CO4,Active,65,,,65
63,14734078,9550553,CCC(=O)OCCNC1=C(C2=NON=C2C(=C1)SC3=NC4=CC=CC=C4S3)[N+](=O)[O-],Active,54,,,54
64,14734519,9550611,CN(CCO)C1=C(C2=NON=C2C(=C1)SC3=NC4=CC=CC=C4S3)[N+](=O)[O-],Active,50,,,50
65,14735642,9550793,CC1=CC=C(C=C1)C2=NN=C(O2)CC3=CC=C(C=C3)Cl,Active,67,,,67
66,14736355,1311254,C1=CC=C(C=C1)NC2=NC(=CC=C2)NC3=CC=CC=C3,Active,68,,,68
67,14737248,672376,CC1=C(C(=O)N(C(=O)C1=NC2=CC=C(C=C2)N(C)C)CCO)C#N,Active,81,,,81
68,14738617,5076888,C1=CC=C(C=C1)CCNC(=O)C2=CC3=C(C=C2)N=C(C(=N3)C4=CC=CO4)C5=CC=CO5,Active,45,,,45
69,14739036,1329592,C1=CC=C(C=C1)CNC(=O)C2=CC3=C(C=C2)N=C(C(=N3)C4=CC=CO4)C5=CC=CO5,Active,43,,,43
70,14739066,870509,COC1=CC=C(C=C1)COC(=O)NNC(=O)C2=CC=CC=C2Cl,Active,66,,,66
71,14739926,1484999,CC1=CC=C(C=C1)N2C=CC(=O)C(=N2)C3=NC(=NC=C3)SCC4=CC(=CC=C4)Cl,Active,56,,,56
72,14740115,1331726,CC(=O)C1=CC=C(C=C1)NC(=O)C2=CC3=C(C=C2)N=C(C(=N3)C4=CC=CO4)C5=CC=CO5,Active,51,,,51
73,14740154,2876479,CCC1=NNC2=CC=CC3=C(C=CC1=C32)OC,Active,56,,,56
74,14742003,3757655,CCOP(=O)(C1(C=C(C(=O)C2=CC=CC=C21)Br)NS(=O)(=O)C3=CC=CC=C3)OCC,Active,45,,,45
75,14744853,2307365,CC1=CN=NN1C2=CC=C(C=C2)C(=O)CCl,Active,60,,,60
76,14744983,109673,CC1=C(C=CC(=C1)N)N2CCCC2.Cl,Active,73,,,73
77,14745573,135512407,CCN=C1N(C(=CS1)C)/N=C/C2=C(C(=C(C=C2)O)O)O,Active,51,,,51
78,14746196,878385,C1=CC(=CC(=C1)Cl)NC(=O)NC2=NC=C(C=C2)Cl,Active,51,,,51
79,14746281,135446674,C1=CC=C(C=C1)C(=O)N/C(=C\C2=CC=C(C=C2)[N+](=O)[O-])/C(=O)N/N=C/C3=C(C(=C(C=C3)O)O)O,Active,41,,,41
80,14746993,2347431,CCN(CC)C1=CC=C(C=C1)NC2=NC3=CC=CC=C3C(=N2)N4CCOCC4,Active,54,,,54
81,14747130,727351,CC1=NC(=S)C2=CC=CC=C2N1,Active,68,,,68
82,17386358,901348,C1=CC=C(C=C1)C2=NN=C3N2C4=CC=CC=C4NC3=O,Active,54,,,54
83,17386668,990752,COC(=O)C1=C(C2=CC=CC3=CC(=C4C=CC1=C4N32)C5=CC=CC=C5)C(=O)OC,Active,44,,,44
84,17401400,5286239,CCOC(=O)CSC1=NC(=O)/C(=C\C2=CC=C(C=C2)Cl)/S1,Active,46,,,46
85,17401712,611216,CC1=NN(C2=CC=CC3=C(C=CC1=C32)OC)C,Active,73,,,73
86,17401857,11957180,C1=CC=C2C(=C1)N=C(S2)SC3=CC(=C(C4=NON=C34)[N+](=O)[O-])NCCCO,Active,61,,,61
87,17401925,11957209,CC(=O)OCCCNC1=C(C2=NON=C2C(=C1)SC3=NC4=CC=CC=C4S3)[N+](=O)[O-],Active,48,,,48
88,17402029,11957260,C1=CC=C2C(=C1)N=C(S2)SC3=CC(=C(C4=NON=C34)[N+](=O)[O-])NCCO,Active,56,,,56
89,17402065,483894,COC1=CC(=C(C=C1)OC)N=C2C(=NSS2)Cl,Active,41,,,41
90,17402250,5927217,CCOC(=O)CSC1=NC(=O)/C(=C\C2=CC=C(C=C2)OC(=O)C)/S1,Active,58,,,58
91,17406629,8219193,CC1=NN(C2=C1C(=O)/C(=C/NC3=CC=CC=C3C(=O)OC)/CC2)C4=CC=CC=N4,Active,50,,,50
92,17409030,1236722,CC1=CC=C(C=C1)C(=O)/C=C/C(=C/C2=CC=CC=C2)/C,Active,47,,,47
93,17409281,1072946,CC1=CC=C(C=C1)OC(=O)C2=CC3=C(C=C2)SN=N3,Active,62,,,62
94,17409514,1479767,C1=CC(=C(C(=C1)Cl)Cl)C(=O)OCC2=CN=C(S2)Cl,Active,51,,,51
95,17410199,1478622,CC(C)CC(=O)OCC1=CN(N=N1)C2=CC=CC=C2,Active,58,,,58
96,17410575,1475539,CN(C)C1=NC(=NC(=C1)CSC)SCC2=C(C=C(C=C2)Cl)Cl,Active,52,,,52
97,17410578,1475518,CC1=CC=C(C=C1)SC2=C(C(=NN2C)C3=CC=CC=C3)C#N,Active,47,,,47
98,17410935,1484233,C1CC1C(=O)NC2=CC=CN3C2=NN=C3C(F)(F)F,Active,48,,,48
99,17412868,1321249,CC1=C(C=CC=C1[N+](=O)[O-])C(=O)OC2=CC=C(C=C2)C3=NC4=CC=CC=C4N=C3,Active,40,,,40
100,17413536,2879069,CCC(=O)N(CC)C1=C(C2=CC=CC=C2C(=O)C1=O)O,Active,52,,,52
101,17414691,977785,C1=CC=C(C(=C1)CSC2=NC=C(N2)C3=CC=C(C=C3)[N+](=O)[O-])Cl,Active,59,,,59
102,17431838,2299067,CC1=C(ON=C1C)NS(=O)(=O)C2=CC=C(C=C2)N/C=C/C(=O)C3=CC(=CC=C3)OC,Active,53,,,53
103,17432330,1332670,C1C2=C(C=CC(=C2)NC(=O)COC3=CC=CC=C3)C4=C1C=C(C=C4)NC(=O)COC5=CC=CC=C5,Active,91,,,91
104,17432332,135425018,CN(C)C1=CC=C(C=C1)/C=C/2\C(=O)N(C(=O)S2)CCN=C3C4=CC=CC=C4S(=O)(=O)N3,Active,48,,,48
105,17432730,1798295,COC1=C(C=CC(=C1)CNC2=CC=C(C=C2)N3CCCC3)OCC4=CC=CC=C4,Active,47,,,47
106,17504007,135477972,CC1=C(C=C(C=C1)N2C(=O)C(=C(N2)C)/C=N/NC3=C(C=C(C=C3)[N+](=O)[O-])[N+](=O)[O-])C,Active,42,,,42
107,17504098,135432762,CC1=CC(=CC=C1)N2C(=C(C(=O)NC2=S)/C=N/N3CCOCC3)O,Active,41,,,41
108,17504132,1380424,CCN(CC)C1=CC=C(C=C1)NC2=C(C(=O)C3=CC=CC=C3C2=O)Cl,Active,70,,,70
109,17504521,12004519,CC(=O)OCCNC1=C(C2=NON=C2C(=C1)SC3=NC4=CC=CC=C4N3)[N+](=O)[O-],Active,44,,,44
110,17504780,1113009,C1=CC2=C(C=C1N=CC3=C(C=CC4=C3C=CC(=C4)Br)O)NC(=O)N2,Active,47,,,47
111,17505280,3739292,CNC(CC(=O)C1=CC=C(C=C1)[N+](=O)[O-])C(Cl)(Cl)Cl,Active,55,,,55
112,17505325,3158797,CC1=CC(=CC=C1)N2C(NC(=O)C(=C2S)C#N)C3=CC=CS3,Active,42,,,42
113,17505472,135497988,CC1=CC=C(C=C1)NC(=O)CC2C(=O)N/C(=N\N=C\C3=CNC4=CC=CC=C43)/S2,Active,42,,,42
114,17505522,687963,C1=CC=C(C(=C1)NC(=O)CN2C=NC=C2C3=CC=C(C=C3)[N+](=O)[O-])F,Active,42,,,42
115,17505524,1989678,CCN1C=C/C(=C\C=C/2\C(=O)N(C(=S)S2)CC)/C3=CC=CC=C31,Active,50,,,50
116,17505915,621951,CC1=C(C=C(C=C1)N2C(=O)C(=C(C)C)C(=O)N2)Cl,Active,43,,,43
117,17506281,792025,CC1=CC(=CC=C1)N=CC2=C(C(=CC(=C2)OC)[N+](=O)[O-])O,Active,42,,,42
118,17506409,5736971,CC1=CC=C(O1)/C=C/C(=O)NC2=CC(=C(C=C2)[N+](=O)[O-])NC(=O)/C=C/C3=CC=C(O3)C,Active,40,,,40
119,17507336,3093671,CC1=CC=C(C=C1)S(=O)(=O)NC2(C3=CC=CC=C3C(=O)C(=C2Cl)Cl)OC,Active,75,,,75
120,17508080,1375190,CNC(=S)N(CC1=CC=CS1)CC2=CC3=C(C=C(C=C3)OC)NC2=O,Active,47,,,47
121,17508465,5433262,CC1=CC=C(C=C1)S(=O)(=O)/N=C\2/C=C(C(=O)C3=CC=CC=C32)SC4=NC=NN4,Active,62,,,62
122,17509145,12004742,CC/C(=C\C1=[N+](C2=C(S1)C=CC(=C2)OC)CCO)/C=C\3/N(C4=C(S3)C=CC(=C4)OC)CCO.[Cl-],Active,62,,,62
123,17509251,3114032,CC1=CC(=C(C=C1)C)NC(=O)C(=O)NCC2=CC=CC=N2,Active,49,,,49
124,17510113,12005102,C1=CC=C(C=C1)N2C=CC=C2/C=C/3\C(=O)N(C(=O)N3)CC4=CC=C(C=C4)F,Active,42,,,42
125,17510188,608257,CC(C)(C=O)C1=CC(=O)C2=CC=CC=C2C1=O,Active,49,,,49
126,17510233,20846837,CCOC(=O)C1(CC(OC1=O)(C)C)CC/C(=N\NC(=O)N)/C,Active,44,,,44
127,17510377,260557,CN(C)C1=CC=C(C=C1)NC2=C(C(=O)C3=CC=CC=C3C2=O)Cl,Active,71,,,71
128,17510638,4661200,CC1CC(NC(=S)N1CCCC(=O)NC2=C(C=CC(=C2)OC)OC)(C)C,Active,50,,,50
129,17510947,5789769,CC1=CC(=C(C=C1)S(=O)(=O)/N=C\2/C=C(C(=O)C3=CC=CC=C32)SC4=NC=NN4)C,Active,69,,,69
130,17511218,4402816,CC1NC2=CC=CC=C2C(=O)N1NS(=O)(=O)C3=CC=CC=C3,Active,43,,,43
131,17511247,7349533,CC1=CC(=C2C(=C1)[C@@H]3C=CC[C@@H]3[C@@H](N2)C4=CC=C(C=C4)S(=O)(=O)N5CCOCC5)C,Active,53,,,53
132,17511251,135517020,C1=CC=C(C(=C1)/C=C/C=N/N=C/2\NC(=O)C(S2)CC(=O)O)[N+](=O)[O-],Active,46,,,46
133,17512559,3248741,CC1=CC=CC=C1N2C(=O)C3=C(NN=C3)N=C2SCC4=CC(=CC=C4)F,Active,44,,,44
134,17512955,1624667,CN(C)S(=O)(=O)C1=CC=CC(=C1)C2=NN(C=C2/C=C\3/C(=O)NC(=S)S3)C4=CC=CC=C4,Active,41,,,41
135,17513201,135458272,CC1=CC=C(C=C1)N=C2NC(=O)/C(=C/C=C/C3=CC=CO3)/S2,Active,52,,,52
136,17513383,1849004,C1COCCN1C2=CC=C(O2)/C=C/3\C(=O)NC(=S)S3,Active,53,,,53
137,17513985,4440827,CC1(C(N(C(=S)S1)NC(=O)NC2=CC=CC=C2)N(C(=O)NC3=CC=CC4=CC=CC=C43)O)C,Active,48,,,48
138,17514028,4561725,C1CN(CCN1C2=CC=CC=C2[N+](=O)[O-])C3=C(C(=O)C4=CC=CC=C4C3=O)Cl,Active,68,,,68
139,17514060,9638528,C1=CC=C2C(=C1)C=C(C(=N2)Cl)/C=N/NC3=NC4=CC=CC=C4N3,Active,69,,,69
140,17515462,5150911,CC1=CC(=C(C=C1)C)OC2=NC=NC(=C2[N+](=O)[O-])N,Active,43,,,43
141,17515560,12006070,C1C(C=CS1(=O)=O)N(C2=CC=CC=C2)C(=O)C3=CC4=CC=CC=C4OC3=O,Active,41,,,41
142,17516180,3966362,CC(C)(C)C1CCC(=NNC(=O)C2=CC3=C(S2)CCCC3)CC1,Active,44,,,44
143,17516590,3510619,COC1=C(C=C2C(OC(=O)CC2=C1)C3=CC=CC=C3F)OC,Active,59,,,59
144,17516750,4176954,CC1=CC2=C(C=C1)C=C(C(=N2)SC3=NN=NN3C4=CC=CC=C4)C,Active,40,,,40
145,17517453,3661963,CC(=O)NC1=C(C(=O)C2=CC=CC=C2C1=O)NC3CCS(=O)(=O)C3,Active,41,,,41
146,17517457,5082182,CC1=C(C=C(C=C1)NC2=C(C(=O)C3=CC=CC=C3C2=O)NC(=O)C4=CC=CC=C4)Cl,Active,50,,,50
147,22402822,9663934,C1=CC=C(C(=C1)/C=N/NC2=C3C=CC(=CC3=NC=C2)Cl)Br,Active,43,,,43
148,22403431,9654767,CC1(C2CC=C(C1C2)/C=N/NC(=S)NC)C,Active,52,,,52
149,22403948,615346,C1=CC=C2C(=C1)C(=O)N(C2=O)C3=CC=CC4=C3N=CC=C4,Active,40,,,40
150,22404741,15945005,CC1=CC=C(C=C1)C2=[N+](SC(=N2)N3CCOCC3)C4=CC=CC=C4.[O-]Cl(=O)(=O)=O,Active,53,,,53
151,22404742,15945006,C1COCCN1C2=NC(=[N+](S2)C3=CC=CC=C3)C4=CC=CC=C4.[O-]Cl(=O)(=O)=O,Active,52,,,52
152,22404746,7314626,CNC1=CC=C(C=C(C1=O)C(=O)/C=C/C2=C(C=C(C=C2)OC)OC)Br,Active,41,,,41
153,22404884,7125637,C1CC1NC(=O)C2=C(C3=C(S2)N=C4/C(=C\C5=CC=CO5)/CCC4=C3C6=CC=CO6)N,Active,56,,,56
154,22404983,7314643,CCNC1=CC=C(C=C(C1=O)C(=O)/C=C/C2=CC=C(C=C2)OCC)Br,Active,43,,,43
155,22404984,7314670,CCOC1=CC=C(C=C1)/C=C/C(=O)C2=C(C(=O)C=CC(=C2)Br)O,Active,42,,,42
156,22405312,6974996,CCN=C1N(C(=O)/C(=C/C2=CC(=C(C=C2OC)N3CCCC3)OC)/S1)CC,Active,51,,,51
157,22405324,7314608,CC1=CC(=C(C=C1)C)/C=C/C(=O)C2=C(C(=O)C=CC=C2)O,Active,41,,,41
158,22406344,135521591,COCCN=C1N(C(=CS1)C2=CC=CS2)/N=C/C3=C(C(=C(C=C3)O)O)O,Active,40,,,40
159,22406529,2342135,CC1=NC2=C(S1)C=C(C=C2)NC(=O)C3=C(C(=CC(=C3)[N+](=O)[O-])[N+](=O)[O-])Cl,Active,52,,,52
160,22406958,2443440,CC1=C(C2=CC=CC=C2N1)C(=O)COC(=O)C3=C(ON=C3C4=C(C=CC=C4Cl)F)C,Active,43,,,43
161,22407633,2128351,CC1=NN(C(=C1/C=C(\C#N)/C(=O)NC2=CC(=C(C=C2)OC)Cl)Cl)C3=CC=C(C=C3)F,Active,42,,,42
162,22408228,2408495,CC1=CC=C(C=C1)NC2=NC(=CS2)CSC3=NN=C(N3C4=CC=CC=C4C)C5=CN=CC=C5,Active,42,,,42
163,22410442,2407524,COC1=CC(=CC(=C1O)OC)/C=C\2/C(=O)/C(=C/C3=CC(=C(C(=C3)OC)O)OC)/CC2,Active,50,,,50
164,22412568,76915,CC(C)(C)C1=CC(=O)C(=O)C(=C1)C(C)(C)C,Active,56,,,56
165,22412726,8219205,C1=CC=C(C(=C1)/C=C/C(=O)C2=C(C(=O)C=CC=C2)O)Cl,Active,54,,,54
166,22413802,5455628,COC1=CC=C(C=C1)N2C(=O)/C(=C/C3=CC=CS3)/NC2=S,Active,45,,,45
167,22414129,15945766,CNCC1=CC=CC=C1SC2=CC(=C(C=C2)O)O.C(=C\C(=O)[O-])\C(=O)[O-],Active,46,,,46
168,22414561,5411557,CC(C)CN1C(=O)/C(=C/C2=CC=CO2)/NC1=S,Active,47,,,47
169,22414764,15945810,CN=C(C1=CC=C(C=C1)Cl)NC2CCCCC2.Cl,Active,49,,,49
170,22415219,1278518,C1CN(CCN1C2=CC=CC=N2)C(=O)NC3=CC4=C(C=C3)N=C(C(=N4)C5=CC=CO5)C6=CC=CO6,Active,53,,,53
171,22416017,799650,C1=CC=C(C=C1)CCNC(=S)NCCC2=CC=CC=C2,Active,44,,,44
172,22416629,944649,CSC1=NNC2=NC3=C(C(=O)N21)C4(CCCC4)CC5=CC=CC=C53,Active,44,,,44
173,22416866,2892955,CNC(=O)CC1C(=O)N(C(=S)N1NC(=O)C2=CC(=CC=C2)F)CC3=CC=CC=C3,Active,40,,,40
174,24780700,856230,C1=CC=C2C(=C1)N=CN2CC3=NN=C(O3)SCC(=O)N,Active,65,,,65
175,24780913,1037240,C1=CC=C(C=C1)C(=O)C2=CC3=C(C=C2)N=C(C(=N3)C4=CC=CO4)C5=CC=CO5,Active,47,,,47
176,24782282,135460458,CCN1C(=NC2=C1C=CC(=C2)C(=O)N/N=C/C3=C(C(=C(C=C3)O)O)O)C,Active,52,,,52
177,24782350,4654931,C1CS(=O)(=O)CC1NC2=C(C(=O)C3=CC=CC=C3C2=O)NC(=O)C4=CC=CC=C4,Active,56,,,56
178,24782533,731393,CC1=CC(=C(C=C1)O)NC2=C(C(=O)N(C2=O)CC3=CC=CC=C3)Cl,Active,58,,,58
179,24785583,4917903,CC1=NN(C2=C1C(=O)C(CC2)Br)C3=CC=CC=N3,Active,59,,,59
180,24786048,135460539,C1COCCN1S(=O)(=O)C2=C(C=CC(=C2)[N+](=O)[O-])N/N=C/C3=C(C(=C(C=C3)O)O)O,Active,63,,,63
181,24786281,12748881,CC1=NC2=C(C(=CS2)C3=CC=CC=C3)C(=O)N1N=C4C=CC(=O)C=C4.CC(=O)O,Active,40,,,40
182,24786636,833983,CCOC1=CC=CC=C1CNC2=CC=C(C=C2)O,Active,44,,,44
183,24787410,4970705,CN1C2=C(C=C(C=C2)NC(=O)C3=CC=CS3)N=C1CCNC(=O)C4CCCCC4,Active,59,,,59
184,24787829,2234203,COC1=C(C=C(C=C1)C(=O)NC(=S)N2CCNC(=O)C2)Br,Active,71,,,71
185,24787839,2940489,CC1C=CCC2C1C(=O)N(C2=O)C3=CC=C(C=C3)OC(=O)C4=CC=CS4,Active,55,,,55
186,24789082,2791433,COC1=CC=C(C=C1)N2C(=O)C(=C(C2=O)Cl)OC3=CC=CC(=C3)OC,Active,43,,,43
187,24789231,1295392,CC(=O)C1=CC(=CC=C1)NC(=O)NC2=CC(=C(C=C2C(=O)OC)OC)OC,Active,62,,,62
188,24789851,135446825,CCOC1=C(C=CC(=C1)/C=C/2\C(=C(C(=N2)C)C(=O)OC)O)O,Active,58,,,58
189,24791080,1115796,CC1=CC=C(C=C1)C2=CC=C(O2)/C=C\3/C(=O)N=C(S3)N4CCOCC4,Active,41,,,41
190,24792867,893102,C1CCN(C1)C2=CC=C(C=C2)NCC3=C(C=CC=C3Cl)Cl,Active,59,,,59
191,24793999,2242388,C1CCC(CC1)NCC2=C(C=CC(=C2)Br)OCC(=O)NCCC3=CC=CC=C3,Active,54,,,54
192,24795336,2948526,C=CS(=O)C1=C(C(=C(S1)Cl)N2CCOCC2)[N+](=O)[O-],Active,57,,,57
193,24795526,979661,CCOC1=C(C=C(C=C1Cl)CNC2=CC=C(C=C2)N3CCCC3)OC,Active,41,,,41
194,24796254,2184268,CN(CCCOC1=CC=CC=C1Br)CC2=CC=CC=C2,Active,99,,,99
195,24797035,1172852,CCOC1=CC(=C(C=C1NC(=O)C2=CC=C(C=C2)OC)OCC)NC(=S)NC,Active,45,,,45
