PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Qualifier,IC50,LogIC50,Maximal Response,Baseline Response,Inflection Point Concentration,Hill Slope,Response Range,Chi Square,Rsquare,Number of DataPoints,Excluded Points,Inhibition at 0.003 uM [1],Inhibition at 0.003 uM [2],Inhibition at 0.003 uM [3],Inhibition at 0.010 uM [1],Inhibition at 0.010 uM [2],Inhibition at 0.010 uM [3],Inhibition at 0.031 uM [1],Inhibition at 0.031 uM [2],Inhibition at 0.031 uM [3],Inhibition at 0.092 uM [1],Inhibition at 0.092 uM [2],Inhibition at 0.092 uM [3],Inhibition at 0.275 uM [1],Inhibition at 0.275 uM [2],Inhibition at 0.275 uM [3],Inhibition at 0.828 uM [1],Inhibition at 0.828 uM [2],Inhibition at 0.828 uM [3],Inhibition at 2.5 uM [1],Inhibition at 2.5 uM [2],Inhibition at 2.5 uM [3],Inhibition at 7.4 uM [1],Inhibition at 7.4 uM [2],Inhibition at 7.4 uM [3],Inhibition at 22.3 uM [1],Inhibition at 22.3 uM [2],Inhibition at 22.3 uM [3],Inhibition at 67.0 uM [1],Inhibition at 67.0 uM [2],Inhibition at 67.0 uM [3]
58,14745237,4245778,CC(C)C(C(=O)N)N(CC1=CC=CO1)C(=O)C2=CC=CC=C2NC(=O)C3=CC=C(C=C3)OC,Inactive,0,,,>,67.038,-4.174,,,,,,,,30,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,-0.8,-5.4,-8.5,-6.7,0.1,-3.6,-4.6,-11.9,-0.9,-5.7,2,-1.9,1.7,-1.5,5.7,1.8,1.6,-1.4,0.3,12.2,4.6,6.6,3.2,4.2,12.6,18.6,9.7,30,24.9,27
59,4256541,1245900,CCSC1=NN=C(S1)NC(=O)C2=CC3=C(S2)CCCC3,Inactive,0,,,>,67.039,-4.174,,,,,,,,30,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,1.7,-2.1,-1.2,-4.3,-1.6,-6.9,-5.9,2.2,1.5,4.7,3.3,-3.2,-1.9,-5.8,-10.2,6.5,-14.6,1,13.8,-2.1,-4.3,4.8,11,11.8,27.9,27.9,26.7,43,45.2,44.7
60,57260337,16319467,CCN(C1=CC=C(C=C1)C(=O)CN2C(=O)C3(CCOC4=CC=CC=C43)NC2=O)S(=O)(=O)C,Inactive,0,,,>,67.039,-4.174,,,,,,,,30,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,1.4,-1.9,6.4,-1.3,7.7,-0.2,8.5,1.1,-7,1.8,-0.2,2.3,-6,-8.1,-11.4,1.8,1.8,3.4,3.8,-1.4,10.1,2,-7.1,-0.6,2.1,1.6,2.9,3.8,5.4,6.6
61,49823122,17581362,COC1=CC2=C(C=C1)N(C3=C2N=C4N(C3=O)CCS4)CC(=O)NC5=CC(=CC=C5)OC,Inactive,0,,,>,67.04,-4.174,,,,,,,,30,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,-5.9,-2.3,-0.9,0.8,8.5,-7.5,-5.2,-1.1,3.6,-8.7,0.6,4.8,-5.5,-1.3,-5,-8,-1.9,-1,3.6,13.1,6.9,22.7,22.9,24.3,32.7,37,37.4,45.4,48.2,47.3
62,24833775,3434681,CC1=C(NC(=C1C(=O)C)C)C(=O)NC2=CC(=CC=C2)S(=O)(=O)NC3=CC=CC=C3OC,Inactive,0,,,>,67.043,-4.174,,,,,,,,30,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,-7.4,-0.6,0.8,-0.5,-10.8,-1.2,-6.9,-5.5,2.8,-6.3,-2.3,0.5,3.3,0.4,-4,-2.3,-1.1,2.5,3.8,1.8,1.5,3.7,-3.7,-0.5,2,-2.5,-3.8,6.1,3.5,2.7
63,3711252,2997570,CC1=CC(=O)OC2=C1C=CC(=C2)NC(=O)C3COC4=CC=CC=C4O3,Inactive,0,,,>,67.043,-4.174,,,,,,,,30,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,-4.5,2.3,-0.1,4.4,-4.4,6.1,6,2.1,0.2,6.8,-1.8,2.8,1.3,1.8,-9.8,0.2,7.8,3,10.3,-3.5,-3.8,7.2,3.1,1.3,18.7,26.9,21.1,36.1,35.4,39
64,49669102,15990602,COCCNC(=O)C1=CNC2=C(C1=O)C=C(C=C2)S(=O)(=O)NC3=C(C=C(C=C3)F)F,Inactive,0,,,>,67.044,-4.174,,,,,,,,30,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,1.7,0.7,-1.2,7.4,-2.2,0.8,1.3,-2,-2.6,-2.9,7.4,-5.9,4.1,-4.8,1.6,10.5,-3.2,6.3,-7.1,0.2,-2.4,6,6,17.6,3.3,9.9,4.1,10.9,13.2,7.5
65,17407054,4302597,CC1=C(C(=NN1C)C2=NNC(=S)N2C3=CC=C(C=C3)F)Cl,Inactive,0,,,>,67.044,-4.174,,,,,,,,30,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,-1.8,-7.4,-1.4,1.5,0,-4.3,-3.6,-4,-1.2,1.6,5.4,2.8,-5,-0.6,-0.5,-3.9,6.9,0,9.2,-1.3,-4.9,-10.3,1.4,6.8,13.8,9.5,14.4,40.7,40.3,39.5
66,7972200,783279,CC1=CC=C(O1)C2=C(C(=S)NC3=C2CCCC3)C#N,Inactive,0,,,>,67.045,-4.174,,,,,,,,30,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,5.4,-3.9,-4.1,-19.6,0.8,2.8,-6.5,-5.3,1.2,-6.5,-3.6,2.5,-3.2,-1.8,0.1,-4,-9.4,2.6,-5.1,7.1,-0.2,5.3,11.2,-0.3,-0.4,2.1,8.2,3.2,5.2,10.2
67,49676907,16305810,CSC1=CC=C(C=C1)C(=O)NC2CCSC3=CC=CC=C23,Inactive,0,,,>,67.045,-4.174,,,,,,,,30,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,4.4,6.5,0.1,4.7,-5.1,-1.7,2.4,-0.8,1.2,-10.6,7,2.6,0.5,-6.4,-3.1,6.4,-3.5,-7.1,6.4,4.9,4.2,3.8,0.3,7.4,19,8.1,13.8,34.2,34.1,33.7
68,47199243,831507,C1CCC2=C(C1)C3=C(S2)NC(=S)N(C3=O)N,Inactive,0,,,>,67.046,-4.174,,,,,,,,30,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,8.5,4.2,2.4,4.9,-2.2,0.3,6.4,3.6,6.1,0.7,5.6,3.1,1.1,1,1.1,-3.7,6.3,6.4,-1.4,4.8,5.2,-5.2,-4.2,4.9,5.3,-2.8,6.6,14.2,22.7,17.4
69,134215792,136141390,CC1=C(C(NC(=NCC2=CC=C(C=C2)OC)N1CC3=CC=CC=C3C(F)(F)F)C4=CC(=CC=C4)C(F)(F)F)C(=O)OC,Inactive,0,,,>,67.046,-4.174,,,,,,,,30,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,5.5,-1,0.8,4.3,5.2,-0.4,-3.1,5,-2.3,3.8,-2.4,-2.6,-9,-11.6,0.1,-1.7,-2.9,-6.4,3.3,5.3,-1.3,9.2,1.8,-7.6,2.7,-0.2,-5.3,6.9,2.4,3.7
70,4249873,3243757,COC1=CC=C(C=C1)NC(=O)C2=C(C3=CC=CC=C3O2)NC(=O)C4CC4,Inactive,0,,,>,67.047,-4.174,,,,,,,,30,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,5.4,8.4,0.8,-1.3,2,4.2,0.8,5.6,2.7,2.7,5.5,-3.4,7,4.4,1.7,3.6,3.2,6.8,2.6,-2.8,3,12.5,4.8,4.6,24.3,29.6,25.3,42.4,42.9,40.2
71,4241822,3236746,CCOC1=CC(=C(C=C1)OCC)NC(=O)C2=C(C(=C(N2)C)C(=O)C)C,Inactive,0,,,>,67.047,-4.174,,,,,,,,30,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,5.4,-3,-1.3,4.7,-1,6.7,3.1,-9.1,-2.8,-5.2,-2.1,6.3,5.2,6.8,10.5,7.1,9.3,-0.3,16.2,18.5,14.2,32.9,32.5,36.1,43.3,44.4,47.3,45.1,47.3,48.1
72,22402140,2137373,CC1=C(C(=CC=C1)NC2=NC3=C(N=NN3C4=CC=CC=C42)S(=O)(=O)C5=CC=CC=C5)C,Inactive,0,,,>,67.047,-4.174,,,,,,,,30,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,6.8,6.5,-1.4,4.8,-1.7,2.5,3.3,-1.7,10.3,-3,-0.9,-0.8,8.2,-4.2,-2,10.4,7,7.1,18,22.3,23,36,32.9,35.5,41.7,40,38,44.2,46.3,43.1
73,17411505,1472976,C1COCCN1C2=CC=C(C=C2)C3=NC4=CC=CC=C4C=C3,Inactive,0,,,>,67.047,-4.174,,,,,,,,30,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,-1.3,4.1,-2.6,3.1,-3.2,2.9,-6,5.4,-0.5,5.1,0.2,7.6,1.4,9.2,2.2,1.5,-1,3.5,15.5,18.3,17.7,45.9,41.4,47.2,46.6,46.3,46.8,31.4,34.2,34.3
74,49715905,24789747,CCC1=CC=C(C=C1)NC2=N[N+](=C(S2)C3=CC=C(C=C3)N(CC)CC)C4=CC=CC=C4.[Cl-],Inactive,0,,,>,67.047,-4.174,,,,,,,,30,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,10.7,3.1,7.4,-6.7,-6.3,10.5,-2.5,4.2,3.7,-2.7,4,9.3,4.9,3.4,11,3.6,0.5,1.8,12.2,5.7,1.5,9.2,8.4,13,9.2,8.8,9.8,21.7,24.3,19.4
75,14733791,768882,CC(=O)C1=CC=C(C=C1)NS(=O)(=O)C2=C(C=CC(=C2)OC)OC,Inactive,0,,,>,67.047,-4.174,,,,,,,,30,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,4.8,3,7.2,7.2,1,1.7,2.7,4.1,8.3,2.4,6,-0.6,0.2,-2,4.7,4,2.3,2.4,5.7,8.1,-5.1,10.6,4,1.6,9,7.7,3.4,-0.9,2.3,3.8
76,24792681,2942998,CC(C)CNCC(=O)NC1=C(C2=C(S1)CCC2)C(=O)NC3=C(C=C(C=C3)OC)OC,Inactive,0,,,>,67.047,-4.174,,,,,,,,30,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,0.2,-2.5,2.6,5.8,-2.5,-10.3,1.8,-0.3,-4.6,-11.5,-5.5,4.3,-9.7,-2.2,-1.8,0.1,-3.4,-1.3,-4.1,1.5,2.6,9.9,20.8,7.2,18.8,24.1,26.6,36,41.8,37.5
77,14734971,5294544,CCN1C(=O)C2=C(NC1=S)N=C3CCCCC3=C2,Inactive,0,,,>,67.054,-4.174,,,,,,,,30,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,-0.4,8.1,-3,6.3,-3.6,-1.9,-1.4,-1,1.8,1.4,-1.3,4.1,-4.9,1.2,5.6,-3.7,-5.6,2.1,-0.2,-0.1,-3.5,6.8,-3.2,5.2,9,6.9,5.9,45.4,44.5,45.8
78,861602,662842,CCOC1=CC=CC(=C1)C2=NN3C(=NN=C3S2)C4=CC=CO4,Inactive,0,,,>,67.054,-4.174,,,,,,,,30,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,1.7,0.8,-5.5,4.2,4.1,0.9,-0.1,-2.5,-0.4,0.6,2.5,-4,3.8,3.2,7.6,-9.9,-2.8,-4.8,4.3,2.4,-4.8,-1.1,0.6,5.6,-2.5,-2.2,3.5,-1.7,-3.9,-5.7
79,49829283,8034406,CCCC1=CC(=O)OC2=C1C=CC(=C2)OCC(=O)NC3=CC=C(C=C3)S(=O)(=O)N,Inactive,0,,,>,67.054,-4.174,,,,,,,,30,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,3.2,5.9,3.6,-1.5,-4.8,-2,3.6,-4.7,3.7,3.3,-5.4,-2.7,1.8,2.5,6,-6.2,2.6,5.1,0.3,-0.9,9.1,8.7,-1.1,8.1,15.7,18.7,15.9,26.9,26.1,20.8
80,4243147,3237908,C1CCC2=NC3=C(C=CC(=C3)C(=O)NC4=C(C=C(C=C4)F)Cl)C(=O)N2CC1,Inactive,0,,,>,67.054,-4.174,,,,,,,,30,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,-1,-0.1,3.2,-1.7,1.7,3.7,4.3,4.2,-2.5,-4.4,-0.7,-0.6,-1.8,-0.1,0.8,4.3,-5.7,6.1,-2.1,-1,-0.9,1.4,8.7,12.6,27.3,23.8,25.6,36.7,36.4,35.8
81,17386649,851892,COC(=O)NC1=NC(=C(S1)C(=O)C2=CC=CC=C2)C3=CC=CC=C3,Inactive,0,,,>,67.054,-4.174,,,,,,,,30,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,0.7,2.2,1.5,1.3,6.2,2.6,5.9,-4.9,-7.6,0.1,0.1,0.7,1.3,7.5,1,5.6,8.9,-0.8,4.1,0.1,-6.7,2.5,4.7,2.9,28.8,27.7,35.1,46.1,44.9,46.4
82,26657644,2515869,CCC(=O)C1=CC=C(C=C1)OCC(=O)C2=CC3=C(C=C2)OCC(=O)N3,Inactive,0,,,>,67.054,-4.174,,,,,,,,30,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,1.5,4.8,9.8,-4.3,1.5,-3.8,-11,-6.4,4.9,-3.2,0.1,1.8,-0.8,-7.6,-1.4,-1.8,-5.1,5.5,2,4.1,-0.7,21.6,18.6,15.8,29.7,30.8,30.8,42.7,43.2,43.5
83,56317177,18273730,CC1=C(SC2=NC=NC(=C12)N3CCC(CC3)C(=O)NC4=CC=C(C=C4)C#N)C,Inactive,0,,,>,67.054,-4.174,,,,,,,,30,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,5,8.2,3,-1.7,-7,8.1,2.1,2,-3.2,4.2,6.1,-2.3,-0.7,-7.8,-2.1,-7.2,-12.4,3.5,6.1,0.9,3.9,13,22.8,18,22.8,26.7,25.5,29.7,35.1,33.1
84,17409247,3197528,CCCC1=NC2=C(C(=C(S2)C)C)C(=N1)SCC(=O)NC3=NN=C(S3)CC,Inactive,0,,,>,67.061,-4.174,,,,,,,,30,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,-6.2,5.7,7.2,0.3,-7.5,-6.2,-4.3,-1.7,-1.4,6,1.8,2.1,-3.2,0.9,0.7,2.1,7.1,0,-1.4,4.2,8.7,12.5,7,8.2,30,24,29.6,43.4,38.9,38.7
85,49679480,3733180,C1=CC=C(C(=C1)C2=NN=C(S2)NC(=O)C3=CC=CC=C3F)F,Inactive,0,,,>,67.061,-4.174,,,,,,,,30,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,6.5,-0.4,4.6,4.6,6.2,1.1,7.7,9.6,3.2,-3.8,-3.2,5.6,4.3,-1.7,4,-6,4.5,5.9,2.4,11.1,2.7,10.9,8.4,14,27.8,26.4,29,38.8,42.2,41.5
86,22401413,7120051,COC1=CC=C(C=C1)N2C(=O)C3=C(C4=CC=CC=C4O3)NC2=S,Inactive,0,,,>,67.061,-4.174,,,,,,,,30,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,1.7,-7.2,0,-1.5,4.1,-2.9,4.2,1.6,-4.7,9.7,-0.4,7,5.8,4.9,0.4,9.5,-1.1,8.8,1.6,4.5,-1.3,-5.1,-2.3,4.4,-1.7,5.5,-4.2,49.9,48.5,48.7
87,49644106,713572,CC1(CC2=CC=CC=C2C3=C1C(=O)NC(=S)N3)C,Inactive,0,,,>,67.068,-4.173,,,,,,,,30,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,5,5.6,1.7,3.3,11.2,2.7,7.9,7.5,9,8.1,6.7,5.2,3.6,1.2,-0.9,9.7,9,1.5,5.3,-1.8,17.4,12.4,6.4,8.5,9,8.8,10.7,38.8,37.7,44.4
88,17503740,3189855,CC1CCCCC1N(CC2=CC(=C(C(=C2)OC)OC)OC)S(=O)(=O)C3=CC=C(C=C3)S(=O)(=O)NC4CC4,Inactive,0,,,>,67.074,-4.173,,,,,,,,30,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,13.5,0.1,1.7,5.6,12.7,4.9,3.5,5.5,7,-0.2,2.3,9.5,8.2,1.9,0.8,0.8,9.5,1.1,5.2,4.8,8.1,8.3,5.9,16.5,-1.3,6.5,2.7,7.3,4.9,1.3
89,47202580,2904040,C1=CC=C(C=C1)C2=CC=C(C=C2)C(=O)NCCC3=CC=C(C=C3)S(=O)(=O)N,Inactive,0,,,>,67.074,-4.173,,,,,,,,30,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,3.4,1.2,-3.8,-2,-1.8,-1.8,4.7,1.5,0.2,0.2,-2.1,3.3,-5.6,9.4,-9.6,2.1,-1.4,-7.4,8,-0.1,-2.3,5.1,5,5.6,14.1,11.4,12.7,22.6,27.5,23.5
90,24806577,719137,CCN1C(=O)C2=C(C3=CC=CC=C3CC2(C)C)NC1=S,Inactive,0,,,>,67.074,-4.173,,,,,,,,30,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,-5.8,-1.8,-0.3,4.6,0.9,-2,-0.4,-0.5,0.2,0.8,-2.4,5.2,-2.3,0.4,1,-0.7,-5.2,3.1,1.2,2.7,3.8,-4.2,-14.2,7,16.5,16.1,6.7,45.5,43.5,43.6
91,17504409,814542,CC1=CC2=C(C=C1)NC3=C2NC=NC3=S,Inactive,0,,,>,67.101,-4.173,,,,,,,,30,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,4.2,5.7,-1.1,1.7,8.2,-2.8,4.8,0.2,6.9,13,6.4,-1.5,3,0.9,5.3,14.5,10.2,7.2,5.7,2.8,1,4.1,5.4,2.8,15.6,19.3,21.7,45.3,43,40.4
92,49680040,135408736,C1=CC=C(C=C1)N2C3=C(C=N2)C(=S)N=CN3,Inactive,0,,,>,67.108,-4.173,,,,,,,,30,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,0.4,3.1,-9.1,-0.8,-7.3,-3.3,1.8,3.2,-2.3,-2.2,-1.6,-7,6.9,-7.9,3.1,0.9,1.8,2.9,3.4,-0.2,0,0.5,-2.6,-0.9,7.9,3.5,1.5,30.5,24.5,27.1
93,49734820,5069161,C1OC2=C(O1)C=C3C(=C2)C(=O)N(C(=S)N3)CCCC(=O)NCC4=CC=CC=C4Cl,Inactive,0,,,>,67.121,-4.173,,,,,,,,30,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,2.4,4.6,-3.4,-3.6,10,-4.3,-9.4,-6,-5.6,1.4,-4.8,2.6,-2.2,4.8,-5.2,-0.9,-2.6,4.1,-6,-2.5,-5.5,-0.8,2.6,9.1,20.4,14.3,20.7,33.7,34,34.8
94,49648095,135527645,CCC1(CC2=CC=CC=C2C3=C1C(=O)NC(=N3)SC)C,Inactive,0,,,>,67.121,-4.173,,,,,,,,30,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,14.2,5.5,7.7,2.9,0.2,9,5.7,1.9,6.8,3.8,10,2.6,-2.3,4,5.3,8.7,13.8,7.1,0.3,-1.2,0.9,-1,10.7,5,10.9,6,4.9,7.1,10.5,13.6
95,92764840,386514,CN(C)CCNC(=O)C1=CC=C(C2=CC3=CC=CC=C3N=C12)OC.Cl,Inactive,0,,,>,67.141,-4.173,,,,,,,,30,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,5.6,-0.5,-5.7,0.6,10.3,6.9,9,4.8,0.4,6.1,-0.2,0.3,-4,4.8,-0.3,13,-6.4,-7.2,-8.5,-7.5,4.9,-6,-12.1,-11.9,-15.5,-21.1,-9.3,-24.4,-20.2,-30.2
