Metric,Value
Best hyperparameters,"learning_rate=0.2, max_depth=7, min_samples_split=5, n_estimators=100"
Accuracy (CV),0.805 (±0.018)
Precision (CV),0.810 (±0.034)
Recall (CV),0.804 (±0.041)
F1-score (CV),0.806 (±0.018)
ROC AUC (CV),0.880 (±0.019)
Accuracy (Test),0.769
Precision (Test),0.773
Recall (Test),0.773
F1-score (Test),0.773
ROC AUC (Test),0.876
