Metric,Value
Best hyperparameters,"learning_rate=0.1, max_depth=7, min_samples_split=2, n_estimators=50"
Accuracy (CV),0.800 (±0.020)
Precision (CV),0.805 (±0.052)
Recall (CV),0.808 (±0.049)
F1-score (CV),0.804 (±0.016)
ROC AUC (CV),0.868 (±0.026)
Accuracy (Test),0.798
Precision (Test),0.800
Recall (Test),0.800
F1-score (Test),0.800
ROC AUC (Test),0.871
