Metric,Value
Best hyperparameters,"C=1, penalty=l2, solver=liblinear"
Accuracy (CV),0.836 (±0.018)
Precision (CV),0.839 (±0.017)
Recall (CV),0.836 (±0.036)
F1-score (CV),0.837 (±0.019)
ROC AUC (CV),0.905 (±0.024)
Accuracy (Test),0.835
Precision (Test),0.819
Recall (Test),0.861
F1-score (Test),0.840
ROC AUC (Test),0.890
